0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,query_id
1,1,1,1,1,12,1,1,1,5,2,1,1,5,1,1,4,2,1,1,1,2,191,4,1,5,1,1,2,1,1,1,1,7,1,6,1,1,1,21,1,1,2,7,1,5,37,1,5,1,3,1,1,1,3,5,1,3,1,1,1,1,3,5,1,1,4,2,1,1,1,4,5,4,2,1,2,2,1,1,1,4,6,1,1,1,1,1,11,1,1,1,19,2,2,1,1,3,42,3,task_0
9,2,1,5,9,1,1,2,1,1,2,2,1,2,3,1,1,4,1,1,1,1,7,1,4,6,1,1,1,1,1,3,1,7,2,1,1,1,1,1,1,1,1,4,6,95,2,4,6,6,1,1,1,9,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,16,1,6,1,1,1,1,1,1,1,1,1,1,1,3,3,11,4,1,1,1,3,1,1,5,1,4,2,1,1,1,task_1
1,1,1,1,1,1,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,9,3,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,3,2,2,1,2,1,1,1,7,3,3,1,1,2,1,1,1,1,24,8,1,9,1,1,21,2,1,2,3,1,2,1,1,1,1,1,1,1,2,2,5,3,2,1,1,1,3,10,1,1,22,1,1,2,2,1,5,task_2
3,1,1,1,1,1,1,2,4,1,8,2,2,1,1,5,3,1,1,1,3,17,1,1,1,1,1,1,1,1,2,1,3,1,1,2,2,7,2,6,1,1,1,1,1,4,4,2,1,1,3,1,1,1,1,2,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,3,7,2,2,1,1,1,2,1,67,1,1,1,1,1,2,1,1,1,1,1,1,11,2,1,1,2,1,1,task_3
3,183,1,2,1,3,1,1,1,1,1,1,2,1,18,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,58,1,1,1,5,4,2,1,1,1,28,1,1,1,3,1,2,2,4,3,11,1,1,7,1,9,1,5,1,1,2,27,1,1,1,1,1,1,1,2,1,10,2,1,1,1,14,2,3,1,1,1,1,1,1,41,8,2,1,1,1,1,1,2,1,task_4
9,1,1,2,11,1,1,1,1,2,1,4,1,4,1,4,3,1,3,1,2,8,118,1,1,1,2,4,3,3,10,1,2,2,1,2,4,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,4,2,1,1,1,1,1,1,2,5,1,1,1,1,1,1,3,1,6,1,3,4,2,1,1,1,1,1,2,1,2,45,4,1,1,1,2,2,1,1,1,2,2,1,1,1,task_5
1,1,2,1,3,2,1,1,1,1,6,1,3,1,1,3,1,1,1,17,1,1,1,1,2,2,1,2,1,1,9,1,1,1,1,2,1,2,1,56,3,1,4,1,1,45,1,2,1,23,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,123,1,3,4,1,2,2,2,1,2,2,3,3,1,2,1,1,1,1,1,1,1,1,17,2,6,1,1,7,5,task_6
3,1,1,1,3,1,1,34,1,1,1,2,2,1,1,3,1,2,117,3,1,1,1,1,15,3,3,1,1,3,1,5,2,1,1,2,31,1,2,1,1,1,2,1,5,1,1,71,4,1,4,6,2,1,1,1,1,1,24,10,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,task_7
1,2,2,4,1,1,1,1,2,1,1,11,19,2,4,16,2,1,1,4,6,18,1,5,1,1,1,1,10,2,1,3,1,70,3,1,1,1,1,1,1,1,8,2,1,2,1,1,3,53,1,1,1,2,1,8,31,3,2,1,1,1,2,1,2,1,1,30,4,1,1,2,1,1,1,1,1,5,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,task_8
2,3,1,1,94,1,1,14,115,1,2,6,1,1,2,1,7,1,2,1,25,1,1,3,1,1,7,3,8,4,1,1,1,1,1,1,1,1,1,2,1,2,7,13,2,1,1,2,1,17,1,6,4,1,1,2,1,8,1,1,1,1,1,15,5,29,1,1,2,1,1,4,1,9,3,1,1,2,1,3,1,1,1,1,1,2,10,2,1,1,1,3,1,1,3,1,1,1,3,1,task_9
