query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
01.sql,742781,0.137563534,493325127,742781,0.130208773,493325127,742493,0.136400917,493325127,742493,0.153104865,493325127,1
02.sql,4039749,0.510664923,2785499147,4040623,0.490493179,2785499147,4040623,0.475967612,2785499147,4038997,0.507491636,2785499147,1
03.sql,5971540,0.269837067,3604593049,4935995,0.195240656,3604593049,5971540,0.251446712,3604593049,5971540,0.274685156,3604593049,1
04.sql,15909740,2.727864148,12790350294,10436643,2.844137889,12790350294,15907920,2.723934414,12790350294,15907513,2.822390178,12790350294,1
05.sql,12430890,0.557284639,8228960149,7059511,0.411379035,8228960149,12429850,0.578938436,8228960149,12429850,0.55428827,8228960149,1
06.sql,6007392,0.499408631,3606870098,1893757,0.482169075,3606870098,6007392,0.498737918,3606870098,6007392,0.506457373,3606870098,1
07.sql,12935544,0.506685794,3635326260,3873652,0.251083623,3635326260,12935544,0.532609875,3635326260,12935544,0.520714586,3635326260,1
08.sql,5897185,0.333798473,3607149127,1947008,0.18588107,3607149127,5897185,0.389920122,3607149127,5897185,0.361561525,3607149127,1
09.sql,5912002,1.568665912,54067200075,5913767,1.545591959,54067200075,5912002,1.561527118,54067200075,5912002,1.580140291,54067200075,1
10.sql,7533022,0.306624804,6422875947,4840208,0.261800641,6422875947,7532278,0.303325948,6422875947,7531756,0.302200105,6422875947,1
11.sql,9458361,1.648518625,9182260196,5699123,1.864740763,9182260196,9460610,1.588822985,9182260196,9460234,1.621196842,9182260196,1
12.sql,1723958,0.12076696,983153049,1723206,0.117981765,983153049,1723206,0.116503796,983153049,1723206,0.116146987,983153049,1
13.sql,15588392,0.792503798,3635725127,4347346,0.346938034,3635725127,15588384,0.757880897,3635725127,15588384,0.772093054,3635725127,1
14.sql,12306726,2.091469956,19170217441,9459840,1.76478697,19170217441,12306018,2.095462244,19170217441,12306213,2.115163661,19170217441,1
15.sql,1467798,0.184503515,1804477049,1467798,0.207041281,1804477049,1467798,0.200108935,1804477049,1467798,0.205025873,1804477049,1
16.sql,1646843,0.098318767,3932665049,1646843,0.097015257,3932665049,1646843,0.10053828,3932665049,1646843,0.10314634,3932665049,1
17.sql,12471042,0.443850791,5898499225,4547184,0.257092336,5898499225,12470225,0.443296769,5898499225,12470993,0.444000256,5898499225,1
18.sql,2753785,0.7066213,9329913245,2755890,0.76227206,9329913245,2751605,0.724086539,9329913245,2755956,0.703584351,9329913245,1
19.sql,8672985,1.80511235,3606757127,2050574,1.611660202,3606757127,8672985,1.868310493,3606757127,8672985,1.811954474,3606757127,1
20.sql,1397151,0.107380048,1802353049,1397151,0.121782878,1802353049,1397151,0.095880747,1802353049,1397151,0.105772909,1802353049,1
21.sql,180615,0.06221028,1310833055,180615,0.056904622,1310833055,180871,0.051487502,1310833055,180871,0.068525869,1310833055,1
22.sql,395889,0.822232395,6554165275,394818,0.874434325,6554165275,393841,0.809951276,6554165275,394656,0.803548239,6554165275,1
23.sql,12506543,6.476112163,13605980196,10822154,5.443157495,13605980196,12505001,6.48244894,13605980196,12505442,6.595573531,13605980196,1
24.sql,9130926,0.660302083,4098204078,9132572,0.666222546,4098204078,9130638,0.669273661,4098204078,9130638,0.662464253,4098204078,1
25.sql,12473102,0.502957796,5898499225,4401874,0.303465548,5898499225,12472763,0.505769912,5898499225,12473521,0.489181807,5898499225,1
