0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,query_id
1,3,1,1,3,1,2,11,7,5,1,1,3,2,2,1,1,8,1,1,6,7,1,1,1,3,1,9,2,1,10,3,1,1,1,1,1,1,1,1,1,129,1,1,1,1,1,3,1,2,3,1,1,1,1,1,2,2,1,1,1,1,1,1,5,63,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,4,1,1,3,1,2,query_1
1,2,1,1,1,1,2,1,18,1,1,4,44,1,1,4,1,1,1,1,1,1,1,1,5,1,65,1,1,1,2,6,1,1,1,7,1,1,3,1,1,2,4,1,1,1,1,1,1,8,4,3,1,1,2,1,2,1,1,2,1,6,2,1,3,4,1,3,2,1,2,4,8,2,802,1,1,1,1,1,2,2,2,3,1,3,1,1,7,1,1,2,1,1,2,4,1,2,3,3,query_2
2,1,17,2,1,8,1,41,1,2,3,1,1,1,29,3,2,1,1,1,43,3,2,2,2,3,2,1,1,8,1,1,1,2,5,2,26,12,7,3,1,2,2,12,2,1,1,2,3,1,2,1,1,1,1,1,1,1,3,1,1,4,3,1,1,3,2,3,1,2,53,2,1,1,2,1,1,1,2,2,3,9,7,1,1,1,1,14,1,1,1,1,13,1,2,1,2,23,1,1,query_3
1,3,2,1,1,1,45,1,4,5,1,1,6,1,1,1,149,1,1,2,2,2,6,1,2,3,1,8,3,1,1,3,1,3,4,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,2,30,1,1,2,1,11,1,4,6,1,2,1,1,6,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,3,2,1,1,9,1,2,1,1,2,1,2,query_4
4,1,1,8,1,10,4,1,5,2,1,5,3,3,1,1,1,1,1,1,3,64,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,15,1,1,1,1,13,3,2,1,2,1,2,1,3,6,1,8,5,1,1,1,1,2,2,1,1,3,1,1,1,2,1,7,1,1,1,1,1,1,1,1,1,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,8,1,1,query_5
1,1,1,2,1,19,1,1,1,1,3,2,1,1,1,3,3,1,2,3,1,1,4,5,1,1,1,1,1,1,11,3,8,1,1,1,1,4,2,1,3,1,1,1,1,1,6,1,3,1,2,2,3,1,1,38,5,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,5,1,1,4,1,1,1,2,2,3,1,4,2,1,2,2,1,13,2,1,2,2,1,1,1,1,1,query_6
1,2,1,1,1,1,1,1,12,1,2,6,1,1,4,1,2,1,1,1,1,1,1,1,1,1,38,1,1,1,20,1,1,1,2,1,1,12,1,1,9,1,3,1,1,13,1,1,2,2,13,13,1,1,5,2,1,1,2,1,4,1,4,2,1,1,1,2,5,1,1,1,1,1,8,2,1,1,1,1,1,2,2,2,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,3,query_7
1,7,1,4,1,4,1,1,2,5,1,2,1,1,1,3,2,1,1,3,1,4,1,1,1,3,2,6,1,1,2,1,1,1,1,8,3,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,23,1,1,3,2,4,1,1,1,1,1,1,3,4,1,2,9,2,3,1,1,2,1,1,5,1,1,1,9,1,1,7,1,1,1,1,1,3,3,2,1,5,2,3,1,9,1,3,query_8
1,4,1,1,1,1,1,1,1,2,2,11,2,1,2,1,1,3,1,1,2,2,1,5,3,1,3,2,1,1,1,1,1,1,2,28,3,8,1,1,7,1,1,15,1,1,1,9,1,27,7,22,1,1,2,1,1,3,2,3,1,1,1,7,3,7,4,1,1,1,2,1,1,3,21,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,16,1,query_9
1,2,2,1,1,3,3,1,2,5,1,1,8,1,1,1,1,1,1,3,1,3,4,2,5,1,1,1,1,1,1,1,2,1,2,1,1,24,1,1,1,1,2,7,1,6,1,1,3,4,1,1,1,2,1,1,3,1,1,3,1,1,1,2,2,1,3,3,1,1,1,1,1,5,8,1,1,1,1,9,2,2,1,1,1,1,1,3,1,4,1,2,3,2,1,5,4,3,2,1,query_10
