,query,dataset,runtime,variant,configuration
0,6.sql,tpch,1100820,vanilla,unmod_spark
1,2.sql,tpch,975728,vanilla,unmod_spark
2,1.sql,tpch,1267089,vanilla,unmod_spark
3,5.sql,tpch,9637936,vanilla,unmod_spark
4,3.sql,tpch,3538577,vanilla,unmod_spark
5,7.sql,tpch,4373321,vanilla,unmod_spark
6,4.sql,tpch,1808968,vanilla,unmod_spark
7,12.sql,tpch,1457074,vanilla,unmod_spark
8,11.sql,tpch,340766,vanilla,unmod_spark
9,9.sql,tpch,14976373,vanilla,unmod_spark
10,14.sql,tpch,1532011,vanilla,unmod_spark
11,13.sql,tpch,1168519,vanilla,unmod_spark
12,10.sql,tpch,3414234,vanilla,unmod_spark
13,8.sql,tpch,12114414,vanilla,unmod_spark
14,23.sql,tpch,400685,vanilla,unmod_spark
15,25.sql,tpch,406877,vanilla,unmod_spark
16,27.sql,tpch,2896062,vanilla,unmod_spark
17,29.sql,tpch,3125122,vanilla,unmod_spark
18,28.sql,tpch,3169174,vanilla,unmod_spark
19,24.sql,tpch,389316,vanilla,unmod_spark
20,26.sql,tpch,361947,vanilla,unmod_spark
21,30.sql,tpch,3231147,vanilla,unmod_spark
22,37.sql,tpch,1414058,vanilla,unmod_spark
23,32.sql,tpch,404369,vanilla,unmod_spark
24,33.sql,tpch,373663,vanilla,unmod_spark
25,34.sql,tpch,412936,vanilla,unmod_spark
26,31.sql,tpch,383303,vanilla,unmod_spark
27,36.sql,tpch,1405145,vanilla,unmod_spark
28,35.sql,tpch,1399514,vanilla,unmod_spark
29,6.sql,tpch,1096371,vanilla,unmod_spark
30,2.sql,tpch,956819,vanilla,unmod_spark
31,1.sql,tpch,1228594,vanilla,unmod_spark
32,5.sql,tpch,11262598,vanilla,unmod_spark
33,3.sql,tpch,3878103,vanilla,unmod_spark
34,7.sql,tpch,5065897,vanilla,unmod_spark
35,4.sql,tpch,2052585,vanilla,unmod_spark
36,12.sql,tpch,1681384,vanilla,unmod_spark
37,11.sql,tpch,483326,vanilla,unmod_spark
38,9.sql,tpch,15161618,vanilla,unmod_spark
