query,dataset,run_number,listener_bare_time
1.sql,tpch,1,30.85
10.sql,tpch,1,22.78
11.sql,tpch,1,11.63
12.sql,tpch,1,17.70
13.sql,tpch,1,18.76
14.sql,tpch,1,14.66
15.sql,tpch,1,16.98
16.sql,tpch,1,16.94
17.sql,tpch,1,33.25
18.sql,tpch,1,34.08
19.sql,tpch,1,14.69
2.sql,tpch,1,15.27
20.sql,tpch,1,16.25
21.sql,tpch,1,33.87
22.sql,tpch,1,15.96
3.sql,tpch,1,21.38
4.sql,tpch,1,24.63
5.sql,tpch,1,27.05
6.sql,tpch,1,11.49
7.sql,tpch,1,27.71
8.sql,tpch,1,24.44
9.sql,tpch,1,31.94
query1.sql,tpcds,1,15.88
query10.sql,tpcds,1,15.96
query11.sql,tpcds,1,29.24
query12.sql,tpcds,1,14.31
query13.sql,tpcds,1,13.80
query14.sql,tpcds,1,8.21
query15.sql,tpcds,1,14.49
query16.sql,tpcds,1,16.18
query17.sql,tpcds,1,29.62
query18.sql,tpcds,1,15.66
query19.sql,tpcds,1,14.23
query2.sql,tpcds,1,14.68
query20.sql,tpcds,1,13.88
query21.sql,tpcds,1,13.61
query22.sql,tpcds,1,14.24
query23.sql,tpcds,1,8.57
query24.sql,tpcds,1,8.23
query25.sql,tpcds,1,29.67
query26.sql,tpcds,1,14.71
query27.sql,tpcds,1,15.77
query28.sql,tpcds,1,19.78
query29.sql,tpcds,1,29.93
query3.sql,tpcds,1,13.04
query30.sql,tpcds,1,8.30
query31.sql,tpcds,1,19.74
query32.sql,tpcds,1,13.93
query33.sql,tpcds,1,16.04
query34.sql,tpcds,1,14.61
query35.sql,tpcds,1,17.02
query36.sql,tpcds,1,14.45
query37.sql,tpcds,1,15.65
query38.sql,tpcds,1,21.35
query39.sql,tpcds,1,8.36
query4.sql,tpcds,1,38.40
query40.sql,tpcds,1,20.19
query41.sql,tpcds,1,10.36
query42.sql,tpcds,1,12.81
query43.sql,tpcds,1,13.09
query44.sql,tpcds,1,15.07
query45.sql,tpcds,1,13.60
query46.sql,tpcds,1,16.10
query47.sql,tpcds,1,19.06
query48.sql,tpcds,1,15.77
query49.sql,tpcds,1,20.67
query5.sql,tpcds,1,20.15
query50.sql,tpcds,1,34.39
query51.sql,tpcds,1,23.10
query52.sql,tpcds,1,13.11
