query,dataset,run_number,listener_register_time
1.sql,tpch,1,30.99
10.sql,tpch,1,22.31
11.sql,tpch,1,12.22
12.sql,tpch,1,18.91
13.sql,tpch,1,18.24
14.sql,tpch,1,14.57
15.sql,tpch,1,16.88
16.sql,tpch,1,17.78
17.sql,tpch,1,33.57
18.sql,tpch,1,32.79
19.sql,tpch,1,14.88
2.sql,tpch,1,15.75
20.sql,tpch,1,16.61
21.sql,tpch,1,32.41
22.sql,tpch,1,15.96
3.sql,tpch,1,20.13
4.sql,tpch,1,25.09
5.sql,tpch,1,26.24
6.sql,tpch,1,11.22
7.sql,tpch,1,27.49
8.sql,tpch,1,24.83
9.sql,tpch,1,30.66
query1.sql,tpcds,1,15.14
query10.sql,tpcds,1,15.85
query11.sql,tpcds,1,27.00
query12.sql,tpcds,1,14.05
query13.sql,tpcds,1,14.57
query14.sql,tpcds,1,8.65
query15.sql,tpcds,1,14.54
query16.sql,tpcds,1,15.89
query17.sql,tpcds,1,28.43
query18.sql,tpcds,1,15.91
query19.sql,tpcds,1,13.80
query2.sql,tpcds,1,14.66
query20.sql,tpcds,1,13.71
query21.sql,tpcds,1,13.44
query22.sql,tpcds,1,14.47
query23.sql,tpcds,1,8.57
query24.sql,tpcds,1,8.18
query25.sql,tpcds,1,30.46
query26.sql,tpcds,1,14.52
query27.sql,tpcds,1,15.61
query28.sql,tpcds,1,20.14
query29.sql,tpcds,1,29.78
query3.sql,tpcds,1,12.70
query30.sql,tpcds,1,8.59
query31.sql,tpcds,1,20.58
query32.sql,tpcds,1,14.58
query33.sql,tpcds,1,15.78
query34.sql,tpcds,1,9.41
query35.sql,tpcds,1,16.76
query36.sql,tpcds,1,14.51
query37.sql,tpcds,1,15.52
query38.sql,tpcds,1,20.86
query39.sql,tpcds,1,8.11
query4.sql,tpcds,1,37.57
query40.sql,tpcds,1,19.97
query41.sql,tpcds,1,10.54
query42.sql,tpcds,1,13.02
query43.sql,tpcds,1,13.25
query44.sql,tpcds,1,15.91
query45.sql,tpcds,1,14.27
query46.sql,tpcds,1,14.48
query47.sql,tpcds,1,17.93
query48.sql,tpcds,1,15.55
query49.sql,tpcds,1,20.17
query5.sql,tpcds,1,19.36
query50.sql,tpcds,1,21.79
query51.sql,tpcds,1,22.65
query52.sql,tpcds,1,12.50
query53.sql,tpcds,1,13.96
query54.sql,tpcds,1,18.26
query55.sql,tpcds,1,13.80
query56.sql,tpcds,1,15.88
query57.sql,tpcds,1,16.01
query58.sql,tpcds,1,16.79
query59.sql,tpcds,1,16.83
query6.sql,tpcds,1,21.85
query60.sql,tpcds,1,16.23
query61.sql,tpcds,1,10.81
query62.sql,tpcds,1,13.60
query63.sql,tpcds,1,13.51
query64.sql,tpcds,1,36.01
query65.sql,tpcds,1,18.48
query66.sql,tpcds,1,15.83
query67.sql,tpcds,1,8.23
query68.sql,tpcds,1,15.09
query69.sql,tpcds,1,11.86
query7.sql,tpcds,1,15.53
query70.sql,tpcds,1,15.54
query71.sql,tpcds,1,15.09
query72.sql,tpcds,1,36.08
query73.sql,tpcds,1,13.88
query74.sql,tpcds,1,26.68
query75.sql,tpcds,1,25.62
