query,dataset,run_number,vanilla_time,listener_register_time,listener_bare_time,listener_nowrite_time,listener_full_time
1.sql,tpch,1,30.9,32.41,31.94,33.13,33.36
1.sql,tpch,2,31.61,32.87,33.6,32.99,32.42
1.sql,tpch,3,31.7,34.67,31.89,31.62,33.56
1.sql,tpch,4,31.75,32.95,32.38,32.71,33.96
1.sql,tpch,5,31.9,32.97,32.96,34.05,32.97
1.sql,tpch,6,31.6,32.36,33.44,32.36,33.6
1.sql,tpch,7,32.1,32.43,31.54,32.22,33.44
1.sql,tpch,8,31.2,32.34,32.98,33.52,32.35
1.sql,tpch,9,31.89,34.01,32.28,33.51,33.72
10.sql,tpch,1,21.01,24.99,23.75,24.78,23.19
10.sql,tpch,2,22.65,23.27,24.58,23.14,24.04
10.sql,tpch,3,20.64,23.79,23.57,23.02,22.08
10.sql,tpch,4,23.0,22.82,23.71,22.93,23.4
10.sql,tpch,5,21.23,25.35,26.16,23.46,22.69
10.sql,tpch,6,22.06,24.56,24.46,23.77,24.36
10.sql,tpch,7,23.23,25.1,24.28,24.47,23.48
10.sql,tpch,8,22.86,25.13,23.24,23.18,24.34
10.sql,tpch,9,22.7,22.88,24.53,22.59,23.14
11.sql,tpch,1,12.09,12.97,13.07,13.49,14.17
11.sql,tpch,2,12.05,13.27,13.55,13.55,14.05
11.sql,tpch,3,11.96,13.11,13.42,13.66,14.3
11.sql,tpch,4,12.52,13.38,13.86,13.29,14.31
11.sql,tpch,5,12.27,13.25,13.28,13.69,14.37
11.sql,tpch,6,12.05,13.14,13.77,13.47,14.2
11.sql,tpch,7,12.63,13.35,13.29,13.32,14.1
11.sql,tpch,8,12.45,13.97,13.39,13.53,14.1
11.sql,tpch,9,12.56,13.65,13.39,13.03,14.3
12.sql,tpch,1,19.3,20.36,20.27,18.56,22.0
12.sql,tpch,2,20.47,20.86,21.78,20.37,20.74
12.sql,tpch,3,18.87,21.64,21.33,18.52,20.75
12.sql,tpch,4,17.41,20.26,19.71,19.7,19.42
12.sql,tpch,5,18.85,20.57,20.02,20.68,22.25
12.sql,tpch,6,18.46,20.96,20.54,21.21,20.67
12.sql,tpch,7,19.6,21.4,21.44,20.05,19.88
12.sql,tpch,8,20.11,19.93,18.55,21.28,19.78
12.sql,tpch,9,19.74,21.8,20.99,18.84,21.64
13.sql,tpch,1,17.82,20.13,20.07,19.94,19.5
13.sql,tpch,2,17.82,19.67,21.44,20.39,19.45
13.sql,tpch,3,18.01,19.68,19.53,19.68,21.27
13.sql,tpch,4,18.04,20.12,20.58,21.01,19.56
13.sql,tpch,5,18.95,20.42,19.28,18.9,20.15
13.sql,tpch,6,19.31,20.44,19.81,19.69,20.11
13.sql,tpch,7,19.51,20.1,19.67,20.46,20.23
13.sql,tpch,8,18.32,20.19,20.54,19.75,19.86
