query,dataset,run_number,listener_bare_time,listener_time_sec,listener_nowrite_time,listener_register_time,vanilla_time_sec
1.sql,tpch,1,32.54,30.74,32.59,31.82,33.77
10.sql,tpch,1,23.08,23.05,22.63,22.95,21.54
11.sql,tpch,1,12.49,13.69,12.18,12.6,12.39
12.sql,tpch,1,16.68,16.77,17.53,18.89,19.05
13.sql,tpch,1,19.38,18.67,17.96,18.09,18.33
14.sql,tpch,1,14.89,15.38,14.39,14.58,15.66
15.sql,tpch,1,17.33,17.54,18.41,18.86,17.70
16.sql,tpch,1,19.59,20.25,21.5,20.01,18.25
17.sql,tpch,1,36.08,34.61,35.74,34.64,33.55
18.sql,tpch,1,34.87,34.23,33.28,35.66,32.96
19.sql,tpch,1,15.45,16.14,15.1,16.02,15.03
2.sql,tpch,1,19.23,21.91,20.55,20.81,15.64
20.sql,tpch,1,23.32,24.97,23.69,24.7,17.65
21.sql,tpch,1,32.36,31.45,31.36,32.23,33.14
22.sql,tpch,1,14.72,15.02,14.46,14.13,15.62
3.sql,tpch,1,21.43,22.09,21.63,22.47,24.16
4.sql,tpch,1,18.12,17.65,17.32,17.62,23.43
5.sql,tpch,1,26.66,25.4,25.31,26.67,35.05
6.sql,tpch,1,11.53,11.83,11.32,11.57,11.80
7.sql,tpch,1,24.37,25.73,25.64,25.85,28.70
8.sql,tpch,1,28.36,28.96,29.63,27.64,24.82
9.sql,tpch,1,33.62,36.77,31.82,33.74,30.82
1.sql,tpch,2,31.76,32.69,30.72,30.56,32.16
10.sql,tpch,2,22.12,24.12,22.89,22.41,21.67
11.sql,tpch,2,11.99,13.52,12.62,12.19,13.14
12.sql,tpch,2,17.63,17.13,17.27,17.2,19.01
13.sql,tpch,2,18.49,18.46,17.93,17.59,18.38
14.sql,tpch,2,14.44,15.81,14.29,14.42,14.64
15.sql,tpch,2,17.25,18.0,17.64,17.26,17.22
16.sql,tpch,2,20.5,20.64,19.49,20.5,17.53
17.sql,tpch,2,35.06,34.97,36.02,36.8,33.37
18.sql,tpch,2,34.67,35.14,36.03,36.12,33.60
19.sql,tpch,2,15.67,15.72,15.59,15.28,14.94
2.sql,tpch,2,21.15,20.52,20.95,21.11,15.70
20.sql,tpch,2,23.73,23.91,23.61,22.41,16.97
21.sql,tpch,2,32.01,32.52,31.37,32.13,33.30
22.sql,tpch,2,14.72,14.71,14.52,14.66,15.01
3.sql,tpch,2,21.88,20.52,22.11,21.27,20.17
