query,dataset,run_number,listener_time_sec
1.sql,tpch,1,30.74
10.sql,tpch,1,23.05
11.sql,tpch,1,13.69
12.sql,tpch,1,16.77
13.sql,tpch,1,18.67
14.sql,tpch,1,15.38
15.sql,tpch,1,17.54
16.sql,tpch,1,20.25
17.sql,tpch,1,34.61
18.sql,tpch,1,34.23
19.sql,tpch,1,16.14
2.sql,tpch,1,21.91
20.sql,tpch,1,24.97
21.sql,tpch,1,31.45
22.sql,tpch,1,15.02
3.sql,tpch,1,22.09
4.sql,tpch,1,17.65
5.sql,tpch,1,25.40
6.sql,tpch,1,11.83
7.sql,tpch,1,25.73
8.sql,tpch,1,28.96
9.sql,tpch,1,36.77
query1.sql,tpcds,1,17.34
query10.sql,tpcds,1,18.79
query11.sql,tpcds,1,42.12
query12.sql,tpcds,1,14.69
query13.sql,tpcds,1,14.42
query14.sql,tpcds,1,8.86
query15.sql,tpcds,1,15.11
query16.sql,tpcds,1,20.48
query17.sql,tpcds,1,28.74
query18.sql,tpcds,1,15.55
query19.sql,tpcds,1,14.95
query2.sql,tpcds,1,16.36
query20.sql,tpcds,1,14.99
query21.sql,tpcds,1,13.86
query22.sql,tpcds,1,14.86
query23.sql,tpcds,1,8.50
query24.sql,tpcds,1,8.30
query25.sql,tpcds,1,27.80
query26.sql,tpcds,1,15.06
query27.sql,tpcds,1,15.99
query28.sql,tpcds,1,23.66
query29.sql,tpcds,1,26.20
query3.sql,tpcds,1,13.39
query30.sql,tpcds,1,8.93
query31.sql,tpcds,1,22.98
query32.sql,tpcds,1,14.92
query33.sql,tpcds,1,17.93
query34.sql,tpcds,1,15.77
query35.sql,tpcds,1,21.57
query36.sql,tpcds,1,14.79
query37.sql,tpcds,1,14.83
query38.sql,tpcds,1,25.91
query39.sql,tpcds,1,8.54
query4.sql,tpcds,1,59.23
query40.sql,tpcds,1,19.42
query41.sql,tpcds,1,11.98
query42.sql,tpcds,1,13.27
query43.sql,tpcds,1,13.46
query44.sql,tpcds,1,16.71
query45.sql,tpcds,1,14.74
query46.sql,tpcds,1,15.68
query47.sql,tpcds,1,33.30
query48.sql,tpcds,1,15.39
query49.sql,tpcds,1,20.71
query5.sql,tpcds,1,21.36
query50.sql,tpcds,1,20.63
query51.sql,tpcds,1,30.09
query52.sql,tpcds,1,13.14
query53.sql,tpcds,1,15.05
query54.sql,tpcds,1,20.54
query55.sql,tpcds,1,13.98
query56.sql,tpcds,1,17.07
query57.sql,tpcds,1,24.64
query58.sql,tpcds,1,17.28
query59.sql,tpcds,1,18.55
query6.sql,tpcds,1,20.28
query60.sql,tpcds,1,17.96
query61.sql,tpcds,1,14.01
query62.sql,tpcds,1,14.41
query63.sql,tpcds,1,14.90
query64.sql,tpcds,1,53.56
query65.sql,tpcds,1,20.23
query66.sql,tpcds,1,16.59
query67.sql,tpcds,1,8.30
query68.sql,tpcds,1,15.57
query69.sql,tpcds,1,16.28
query7.sql,tpcds,1,15.96
query70.sql,tpcds,1,16.20
query71.sql,tpcds,1,14.87
query72.sql,tpcds,1,34.64
query73.sql,tpcds,1,14.62
query74.sql,tpcds,1,43.72
query75.sql,tpcds,1,41.43
query76.sql,tpcds,1,15.47
query77.sql,tpcds,1,35.30
query78.sql,tpcds,1,37.83
query79.sql,tpcds,1,15.03
query8.sql,tpcds,1,15.00
query80.sql,tpcds,1,32.90
query81.sql,tpcds,1,16.80
query82.sql,tpcds,1,15.26
query83.sql,tpcds,1,15.76
query84.sql,tpcds,1,15.36
query85.sql,tpcds,1,18.06
query86.sql,tpcds,1,14.65
query87.sql,tpcds,1,25.90
query88.sql,tpcds,1,17.76
query89.sql,tpcds,1,15.17
query9.sql,tpcds,1,19.49
query90.sql,tpcds,1,12.77
query91.sql,tpcds,1,12.89
query92.sql,tpcds,1,14.66
query93.sql,tpcds,1,23.82
query94.sql,tpcds,1,19.95
query95.sql,tpcds,1,25.39
query96.sql,tpcds,1,12.23
query97.sql,tpcds,1,19.59
query98.sql,tpcds,1,15.45
query99.sql,tpcds,1,13.87
1.sql,tpch,2,32.69
10.sql,tpch,2,24.12
11.sql,tpch,2,13.52
12.sql,tpch,2,17.13
13.sql,tpch,2,18.46
14.sql,tpch,2,15.81
15.sql,tpch,2,18.00
16.sql,tpch,2,20.64
17.sql,tpch,2,34.97
18.sql,tpch,2,35.14
19.sql,tpch,2,15.72
2.sql,tpch,2,20.52
20.sql,tpch,2,23.91
21.sql,tpch,2,32.52
22.sql,tpch,2,14.71
3.sql,tpch,2,20.52
4.sql,tpch,2,18.24
5.sql,tpch,2,26.16
6.sql,tpch,2,11.65
7.sql,tpch,2,24.63
8.sql,tpch,2,29.09
9.sql,tpch,2,33.45
query1.sql,tpcds,2,16.53
query10.sql,tpcds,2,19.42
query11.sql,tpcds,2,41.92
query12.sql,tpcds,2,14.66
query13.sql,tpcds,2,14.32
query14.sql,tpcds,2,8.10
query15.sql,tpcds,2,15.19
query16.sql,tpcds,2,20.62
query17.sql,tpcds,2,25.64
query18.sql,tpcds,2,15.94
query19.sql,tpcds,2,15.98
query2.sql,tpcds,2,16.12
query20.sql,tpcds,2,14.02
query21.sql,tpcds,2,13.93
query22.sql,tpcds,2,14.72
query23.sql,tpcds,2,8.46
query24.sql,tpcds,2,8.25
query25.sql,tpcds,2,27.73
query26.sql,tpcds,2,14.74
query27.sql,tpcds,2,15.51
query28.sql,tpcds,2,21.88
query29.sql,tpcds,2,27.89
query3.sql,tpcds,2,13.48
query30.sql,tpcds,2,8.66
query31.sql,tpcds,2,24.87
query32.sql,tpcds,2,14.66
query33.sql,tpcds,2,17.14
query34.sql,tpcds,2,15.71
query35.sql,tpcds,2,21.55
query36.sql,tpcds,2,15.24
query37.sql,tpcds,2,15.32
query38.sql,tpcds,2,25.10
query39.sql,tpcds,2,8.43
query4.sql,tpcds,2,61.03
query40.sql,tpcds,2,19.62
query41.sql,tpcds,2,12.03
query42.sql,tpcds,2,13.13
query43.sql,tpcds,2,13.40
query44.sql,tpcds,2,16.63
query45.sql,tpcds,2,14.46
query46.sql,tpcds,2,15.28
query47.sql,tpcds,2,33.04
query48.sql,tpcds,2,14.56
query49.sql,tpcds,2,22.48
query5.sql,tpcds,2,20.84
query50.sql,tpcds,2,20.52
query51.sql,tpcds,2,30.23
query52.sql,tpcds,2,13.49
query53.sql,tpcds,2,14.53
query54.sql,tpcds,2,20.31
query55.sql,tpcds,2,14.03
query56.sql,tpcds,2,17.48
query57.sql,tpcds,2,24.84
query58.sql,tpcds,2,16.97
query59.sql,tpcds,2,17.50
query6.sql,tpcds,2,18.33
query60.sql,tpcds,2,18.38
query61.sql,tpcds,2,13.77
query62.sql,tpcds,2,14.43
query63.sql,tpcds,2,14.56
query64.sql,tpcds,2,52.72
query65.sql,tpcds,2,20.15
query66.sql,tpcds,2,17.22
query67.sql,tpcds,2,8.31
query68.sql,tpcds,2,15.65
query69.sql,tpcds,2,17.09
query7.sql,tpcds,2,15.48
query70.sql,tpcds,2,16.37
query71.sql,tpcds,2,15.57
query72.sql,tpcds,2,35.02
query73.sql,tpcds,2,15.29
query74.sql,tpcds,2,43.10
query75.sql,tpcds,2,41.79
query76.sql,tpcds,2,15.80
query77.sql,tpcds,2,36.37
query78.sql,tpcds,2,39.42
query79.sql,tpcds,2,14.82
query8.sql,tpcds,2,14.58
query80.sql,tpcds,2,32.96
query81.sql,tpcds,2,16.83
query82.sql,tpcds,2,16.25
query83.sql,tpcds,2,15.07
query84.sql,tpcds,2,14.90
query85.sql,tpcds,2,18.25
query86.sql,tpcds,2,14.70
query87.sql,tpcds,2,26.19
query88.sql,tpcds,2,17.97
query89.sql,tpcds,2,15.45
query9.sql,tpcds,2,18.48
query90.sql,tpcds,2,13.54
query91.sql,tpcds,2,13.20
query92.sql,tpcds,2,14.95
query93.sql,tpcds,2,23.17
query94.sql,tpcds,2,19.95
query95.sql,tpcds,2,25.81
query96.sql,tpcds,2,12.21
query97.sql,tpcds,2,19.56
query98.sql,tpcds,2,15.13
query99.sql,tpcds,2,14.52
1.sql,tpch,3,31.99
10.sql,tpch,3,22.50
11.sql,tpch,3,13.04
12.sql,tpch,3,17.72
13.sql,tpch,3,19.11
14.sql,tpch,3,14.60
15.sql,tpch,3,18.01
16.sql,tpch,3,20.24
17.sql,tpch,3,34.53
18.sql,tpch,3,33.15
19.sql,tpch,3,16.36
2.sql,tpch,3,21.53
20.sql,tpch,3,24.18
21.sql,tpch,3,32.71
22.sql,tpch,3,15.03
3.sql,tpch,3,22.19
4.sql,tpch,3,18.34
5.sql,tpch,3,26.95
6.sql,tpch,3,12.25
7.sql,tpch,3,26.29
8.sql,tpch,3,30.37
9.sql,tpch,3,33.12
query1.sql,tpcds,3,16.89
query10.sql,tpcds,3,18.67
query11.sql,tpcds,3,43.88
query12.sql,tpcds,3,14.89
query13.sql,tpcds,3,14.84
query14.sql,tpcds,3,8.19
query15.sql,tpcds,3,14.68
query16.sql,tpcds,3,21.03
