query,dataset,run_number,listener_nowrite_time
1.sql,tpch,1,32.59
10.sql,tpch,1,22.63
11.sql,tpch,1,12.18
12.sql,tpch,1,17.53
13.sql,tpch,1,17.96
14.sql,tpch,1,14.39
15.sql,tpch,1,18.41
16.sql,tpch,1,21.50
17.sql,tpch,1,35.74
18.sql,tpch,1,33.28
19.sql,tpch,1,15.10
2.sql,tpch,1,20.55
20.sql,tpch,1,23.69
21.sql,tpch,1,31.36
22.sql,tpch,1,14.46
3.sql,tpch,1,21.63
4.sql,tpch,1,17.32
5.sql,tpch,1,25.31
6.sql,tpch,1,11.32
7.sql,tpch,1,25.64
8.sql,tpch,1,29.63
9.sql,tpch,1,31.82
query1.sql,tpcds,1,16.26
query10.sql,tpcds,1,19.31
query11.sql,tpcds,1,42.39
query12.sql,tpcds,1,14.58
query13.sql,tpcds,1,13.67
query14.sql,tpcds,1,8.51
query15.sql,tpcds,1,14.07
query16.sql,tpcds,1,20.32
query17.sql,tpcds,1,26.91
query18.sql,tpcds,1,15.75
query19.sql,tpcds,1,14.89
query2.sql,tpcds,1,16.02
query20.sql,tpcds,1,14.43
query21.sql,tpcds,1,13.71
query22.sql,tpcds,1,14.31
query23.sql,tpcds,1,8.67
query24.sql,tpcds,1,8.17
query25.sql,tpcds,1,26.48
query26.sql,tpcds,1,14.17
query27.sql,tpcds,1,15.20
query28.sql,tpcds,1,22.19
query29.sql,tpcds,1,26.79
query3.sql,tpcds,1,13.04
query30.sql,tpcds,1,8.60
query31.sql,tpcds,1,22.21
query32.sql,tpcds,1,14.43
query33.sql,tpcds,1,17.70
query34.sql,tpcds,1,16.38
query35.sql,tpcds,1,20.80
query36.sql,tpcds,1,15.10
query37.sql,tpcds,1,14.92
query38.sql,tpcds,1,24.93
query39.sql,tpcds,1,8.46
query4.sql,tpcds,1,60.45
query40.sql,tpcds,1,18.67
query41.sql,tpcds,1,11.69
query42.sql,tpcds,1,12.47
query43.sql,tpcds,1,13.43
query44.sql,tpcds,1,16.44
query45.sql,tpcds,1,14.30
query46.sql,tpcds,1,14.87
query47.sql,tpcds,1,32.88
query48.sql,tpcds,1,15.20
query49.sql,tpcds,1,20.70
query5.sql,tpcds,1,21.53
query50.sql,tpcds,1,19.89
query51.sql,tpcds,1,31.92
query52.sql,tpcds,1,13.26
query53.sql,tpcds,1,14.90
query54.sql,tpcds,1,19.24
query55.sql,tpcds,1,13.60
query56.sql,tpcds,1,17.03
query57.sql,tpcds,1,23.67
query58.sql,tpcds,1,16.19
query59.sql,tpcds,1,17.43
query6.sql,tpcds,1,19.35
query60.sql,tpcds,1,17.27
query61.sql,tpcds,1,13.87
query62.sql,tpcds,1,14.34
query63.sql,tpcds,1,14.43
query64.sql,tpcds,1,49.69
query65.sql,tpcds,1,19.55
query66.sql,tpcds,1,17.26
query67.sql,tpcds,1,8.14
query68.sql,tpcds,1,15.79
query69.sql,tpcds,1,15.94
query7.sql,tpcds,1,15.33
query70.sql,tpcds,1,16.13
query71.sql,tpcds,1,14.36
query72.sql,tpcds,1,35.89
query73.sql,tpcds,1,14.75
query74.sql,tpcds,1,41.61
query75.sql,tpcds,1,41.01
query76.sql,tpcds,1,15.83
query77.sql,tpcds,1,36.22
query78.sql,tpcds,1,39.51
query79.sql,tpcds,1,15.51
query8.sql,tpcds,1,15.10
query80.sql,tpcds,1,34.18
query81.sql,tpcds,1,16.67
query82.sql,tpcds,1,15.76
query83.sql,tpcds,1,15.73
query84.sql,tpcds,1,16.12
query85.sql,tpcds,1,18.16
query86.sql,tpcds,1,14.24
query87.sql,tpcds,1,25.13
query88.sql,tpcds,1,18.45
query89.sql,tpcds,1,14.94
query9.sql,tpcds,1,18.21
query90.sql,tpcds,1,13.88
query91.sql,tpcds,1,12.82
query92.sql,tpcds,1,14.29
query93.sql,tpcds,1,23.09
query94.sql,tpcds,1,18.74
query95.sql,tpcds,1,25.88
query96.sql,tpcds,1,11.77
query97.sql,tpcds,1,18.22
query98.sql,tpcds,1,15.10
query99.sql,tpcds,1,13.87
1.sql,tpch,2,30.72
10.sql,tpch,2,22.89
11.sql,tpch,2,12.62
12.sql,tpch,2,17.27
