query,dataset,run_number,listener_register_time
1.sql,tpch,1,31.82
10.sql,tpch,1,22.95
11.sql,tpch,1,12.60
12.sql,tpch,1,18.89
13.sql,tpch,1,18.09
14.sql,tpch,1,14.58
15.sql,tpch,1,18.86
16.sql,tpch,1,20.01
17.sql,tpch,1,34.64
18.sql,tpch,1,35.66
19.sql,tpch,1,16.02
2.sql,tpch,1,20.81
20.sql,tpch,1,24.70
21.sql,tpch,1,32.23
22.sql,tpch,1,14.13
3.sql,tpch,1,22.47
4.sql,tpch,1,17.62
5.sql,tpch,1,26.67
6.sql,tpch,1,11.57
7.sql,tpch,1,25.85
8.sql,tpch,1,27.64
9.sql,tpch,1,33.74
query1.sql,tpcds,1,16.25
query10.sql,tpcds,1,18.83
query11.sql,tpcds,1,41.25
query12.sql,tpcds,1,14.73
query13.sql,tpcds,1,13.86
query14.sql,tpcds,1,8.63
query15.sql,tpcds,1,14.00
query16.sql,tpcds,1,21.09
query17.sql,tpcds,1,25.58
query18.sql,tpcds,1,15.91
query19.sql,tpcds,1,15.06
query2.sql,tpcds,1,16.16
query20.sql,tpcds,1,14.04
query21.sql,tpcds,1,13.13
query22.sql,tpcds,1,14.13
query23.sql,tpcds,1,8.76
query24.sql,tpcds,1,8.51
query25.sql,tpcds,1,27.55
query26.sql,tpcds,1,14.49
query27.sql,tpcds,1,15.44
query28.sql,tpcds,1,22.19
query29.sql,tpcds,1,28.06
query3.sql,tpcds,1,12.84
query30.sql,tpcds,1,8.83
query31.sql,tpcds,1,21.50
query32.sql,tpcds,1,14.48
query33.sql,tpcds,1,16.82
query34.sql,tpcds,1,15.46
query35.sql,tpcds,1,21.70
query36.sql,tpcds,1,14.92
query37.sql,tpcds,1,14.24
query38.sql,tpcds,1,25.42
query39.sql,tpcds,1,8.49
query4.sql,tpcds,1,59.32
query40.sql,tpcds,1,19.78
query41.sql,tpcds,1,11.14
query42.sql,tpcds,1,12.64
query43.sql,tpcds,1,13.49
query44.sql,tpcds,1,16.44
query45.sql,tpcds,1,13.91
query46.sql,tpcds,1,15.79
query47.sql,tpcds,1,32.13
query48.sql,tpcds,1,14.78
query49.sql,tpcds,1,22.00
query5.sql,tpcds,1,20.38
query50.sql,tpcds,1,19.81
query51.sql,tpcds,1,28.84
query52.sql,tpcds,1,13.05
query53.sql,tpcds,1,14.28
query54.sql,tpcds,1,19.99
query55.sql,tpcds,1,13.07
query56.sql,tpcds,1,17.45
query57.sql,tpcds,1,23.90
query58.sql,tpcds,1,16.59
query59.sql,tpcds,1,18.21
query6.sql,tpcds,1,19.98
query60.sql,tpcds,1,18.24
query61.sql,tpcds,1,13.70
query62.sql,tpcds,1,13.91
query63.sql,tpcds,1,15.06
query64.sql,tpcds,1,49.81
query65.sql,tpcds,1,18.43
query66.sql,tpcds,1,16.19
query67.sql,tpcds,1,8.14
query68.sql,tpcds,1,15.79
query69.sql,tpcds,1,15.71
query7.sql,tpcds,1,15.87
query70.sql,tpcds,1,15.85
query71.sql,tpcds,1,15.72
query72.sql,tpcds,1,33.15
query73.sql,tpcds,1,14.23
query74.sql,tpcds,1,40.93
query75.sql,tpcds,1,43.29
query76.sql,tpcds,1,14.96
query77.sql,tpcds,1,35.23
query78.sql,tpcds,1,38.53
query79.sql,tpcds,1,14.75
query8.sql,tpcds,1,14.39
query80.sql,tpcds,1,33.34
query81.sql,tpcds,1,16.53
query82.sql,tpcds,1,15.15
query83.sql,tpcds,1,15.24
query84.sql,tpcds,1,15.14
query85.sql,tpcds,1,18.50
query86.sql,tpcds,1,14.21
query87.sql,tpcds,1,25.97
query88.sql,tpcds,1,18.65
query89.sql,tpcds,1,15.75
query9.sql,tpcds,1,18.77
query90.sql,tpcds,1,13.60
query91.sql,tpcds,1,13.48
query92.sql,tpcds,1,15.00
query93.sql,tpcds,1,24.50
query94.sql,tpcds,1,19.60
query95.sql,tpcds,1,25.80
query96.sql,tpcds,1,11.73
query97.sql,tpcds,1,19.16
query98.sql,tpcds,1,15.25
query99.sql,tpcds,1,13.33
1.sql,tpch,2,30.56
10.sql,tpch,2,22.41
11.sql,tpch,2,12.19
12.sql,tpch,2,17.20
13.sql,tpch,2,17.59
14.sql,tpch,2,14.42
15.sql,tpch,2,17.26
16.sql,tpch,2,20.50
17.sql,tpch,2,36.80
18.sql,tpch,2,36.12
19.sql,tpch,2,15.28
2.sql,tpch,2,21.11
20.sql,tpch,2,22.41
21.sql,tpch,2,32.13
22.sql,tpch,2,14.66
3.sql,tpch,2,21.27
4.sql,tpch,2,17.27
5.sql,tpch,2,25.78
6.sql,tpch,2,11.76
7.sql,tpch,2,24.67
8.sql,tpch,2,27.32
9.sql,tpch,2,33.03
query1.sql,tpcds,2,16.28
query10.sql,tpcds,2,18.86
query11.sql,tpcds,2,42.60
query12.sql,tpcds,2,14.57
query13.sql,tpcds,2,14.37
query14.sql,tpcds,2,8.50
query15.sql,tpcds,2,14.57
query16.sql,tpcds,2,21.43
query17.sql,tpcds,2,26.81
query18.sql,tpcds,2,15.95
query19.sql,tpcds,2,15.47
query2.sql,tpcds,2,16.13
query20.sql,tpcds,2,13.87
query21.sql,tpcds,2,13.47
query22.sql,tpcds,2,14.18
query23.sql,tpcds,2,8.58
query24.sql,tpcds,2,8.11
query25.sql,tpcds,2,26.78
query26.sql,tpcds,2,14.15
query27.sql,tpcds,2,14.71
query28.sql,tpcds,2,21.86
query29.sql,tpcds,2,28.52
query3.sql,tpcds,2,12.96
query30.sql,tpcds,2,8.61
query31.sql,tpcds,2,23.41
query32.sql,tpcds,2,14.41
query33.sql,tpcds,2,17.31
query34.sql,tpcds,2,15.73
query35.sql,tpcds,2,20.04
query36.sql,tpcds,2,15.39
query37.sql,tpcds,2,14.44
query38.sql,tpcds,2,25.76
query39.sql,tpcds,2,8.25
query4.sql,tpcds,2,59.46
query40.sql,tpcds,2,18.96
query41.sql,tpcds,2,11.96
query42.sql,tpcds,2,13.03
query43.sql,tpcds,2,12.69
query44.sql,tpcds,2,16.49
query45.sql,tpcds,2,14.67
query46.sql,tpcds,2,15.45
query47.sql,tpcds,2,33.45
query48.sql,tpcds,2,15.43
query49.sql,tpcds,2,22.13
query5.sql,tpcds,2,20.55
query50.sql,tpcds,2,19.99
query51.sql,tpcds,2,30.01
query52.sql,tpcds,2,12.96
query53.sql,tpcds,2,14.54
query54.sql,tpcds,2,20.16
query55.sql,tpcds,2,13.68
query56.sql,tpcds,2,17.12
query57.sql,tpcds,2,24.69
query58.sql,tpcds,2,18.14
query59.sql,tpcds,2,17.81
query6.sql,tpcds,2,18.41
query60.sql,tpcds,2,17.68
query61.sql,tpcds,2,13.49
query62.sql,tpcds,2,14.75
query63.sql,tpcds,2,14.82
query64.sql,tpcds,2,51.63
query65.sql,tpcds,2,19.32
query66.sql,tpcds,2,17.50
query67.sql,tpcds,2,8.19
query68.sql,tpcds,2,15.81
query69.sql,tpcds,2,15.73
query7.sql,tpcds,2,16.29
query70.sql,tpcds,2,16.20
query71.sql,tpcds,2,14.72
query72.sql,tpcds,2,35.03
query73.sql,tpcds,2,14.28
query74.sql,tpcds,2,42.34
query75.sql,tpcds,2,42.59
query76.sql,tpcds,2,15.90
query77.sql,tpcds,2,35.57
query78.sql,tpcds,2,40.12
query79.sql,tpcds,2,14.34
query8.sql,tpcds,2,14.10
query80.sql,tpcds,2,31.99
query81.sql,tpcds,2,16.98
query82.sql,tpcds,2,15.11
query83.sql,tpcds,2,15.75
query84.sql,tpcds,2,14.50
query85.sql,tpcds,2,18.54
query86.sql,tpcds,2,14.40
