query,dataset,runtime
18.sql,tpch,25470
14.sql,tpch,3279
17.sql,tpch,18994
16.sql,tpch,8230
10.sql,tpch,11122
13.sql,tpch,6191
5.sql,tpch,11051
3.sql,tpch,7915
1.sql,tpch,19894
7.sql,tpch,10962
2.sql,tpch,8895
21.sql,tpch,17146
22.sql,tpch,3368
6.sql,tpch,1461
19.sql,tpch,3714
20.sql,tpch,10550
4.sql,tpch,5235
12.sql,tpch,4238
15.sql,tpch,5103
11.sql,tpch,2922
9.sql,tpch,18000
8.sql,tpch,13651
18.sql,tpch,17904
14.sql,tpch,2537
17.sql,tpch,18330
16.sql,tpch,8578
10.sql,tpch,10133
13.sql,tpch,6494
5.sql,tpch,12653
3.sql,tpch,8600
1.sql,tpch,19038
7.sql,tpch,10960
2.sql,tpch,8731
21.sql,tpch,16565
22.sql,tpch,3209
6.sql,tpch,1277
19.sql,tpch,3340
20.sql,tpch,10480
4.sql,tpch,4754
12.sql,tpch,3759
15.sql,tpch,4912
11.sql,tpch,2592
9.sql,tpch,17321
8.sql,tpch,13187
18.sql,tpch,18307
14.sql,tpch,2721
17.sql,tpch,19110
16.sql,tpch,8315
10.sql,tpch,10086
13.sql,tpch,6032
5.sql,tpch,12803
3.sql,tpch,8391
1.sql,tpch,19179
7.sql,tpch,10392
2.sql,tpch,7983
21.sql,tpch,16332
22.sql,tpch,3370
6.sql,tpch,1255
19.sql,tpch,3777
20.sql,tpch,10283
4.sql,tpch,5465
12.sql,tpch,4326
15.sql,tpch,4877
11.sql,tpch,2432
9.sql,tpch,19450
8.sql,tpch,14131
18.sql,tpch,18678
14.sql,tpch,3216
17.sql,tpch,19502
16.sql,tpch,8591
10.sql,tpch,10116
13.sql,tpch,5518
5.sql,tpch,14491
3.sql,tpch,8633
1.sql,tpch,18816
7.sql,tpch,10406
2.sql,tpch,8737
21.sql,tpch,16090
22.sql,tpch,3460
6.sql,tpch,1461
19.sql,tpch,3327
20.sql,tpch,10233
4.sql,tpch,5247
12.sql,tpch,4434
15.sql,tpch,4932
11.sql,tpch,2416
9.sql,tpch,18044
8.sql,tpch,13536
18.sql,tpch,19077
14.sql,tpch,2937
17.sql,tpch,19357
16.sql,tpch,8735
10.sql,tpch,9750
13.sql,tpch,5042
5.sql,tpch,14016
3.sql,tpch,8446
1.sql,tpch,19013
7.sql,tpch,10569
2.sql,tpch,7987
21.sql,tpch,16557
22.sql,tpch,3129
6.sql,tpch,1141
19.sql,tpch,3477
20.sql,tpch,10471
4.sql,tpch,5580
12.sql,tpch,3848
15.sql,tpch,4631
11.sql,tpch,2484
9.sql,tpch,17882
8.sql,tpch,13768
18.sql,tpch,18255
14.sql,tpch,2587
17.sql,tpch,19156
16.sql,tpch,8564
10.sql,tpch,10744
13.sql,tpch,5722
5.sql,tpch,11575
3.sql,tpch,8820
1.sql,tpch,18836
7.sql,tpch,10427
2.sql,tpch,8233
21.sql,tpch,16136
22.sql,tpch,3180
6.sql,tpch,1612
19.sql,tpch,3499
20.sql,tpch,11292
4.sql,tpch,4546
12.sql,tpch,4317
15.sql,tpch,4870
11.sql,tpch,2543
9.sql,tpch,18297
8.sql,tpch,13995
18.sql,tpch,18869
14.sql,tpch,2513
17.sql,tpch,19579
16.sql,tpch,8385
10.sql,tpch,10205
13.sql,tpch,5850
5.sql,tpch,11723
3.sql,tpch,8768
1.sql,tpch,19040
7.sql,tpch,10320
2.sql,tpch,8612
21.sql,tpch,16219
22.sql,tpch,3375
6.sql,tpch,1313
19.sql,tpch,3774
20.sql,tpch,10508
4.sql,tpch,6438
12.sql,tpch,3765
15.sql,tpch,4615
11.sql,tpch,2354
9.sql,tpch,18201
8.sql,tpch,13684
18.sql,tpch,18011
14.sql,tpch,3138
17.sql,tpch,18364
16.sql,tpch,8316
10.sql,tpch,10129
13.sql,tpch,5242
5.sql,tpch,13256
3.sql,tpch,8623
1.sql,tpch,19186
7.sql,tpch,10356
2.sql,tpch,7896
21.sql,tpch,16254
22.sql,tpch,3429
6.sql,tpch,1147
19.sql,tpch,3423
20.sql,tpch,11661
4.sql,tpch,4825
12.sql,tpch,3969
15.sql,tpch,4727
11.sql,tpch,2642
9.sql,tpch,17828
8.sql,tpch,16570
18.sql,tpch,19540
14.sql,tpch,3066
17.sql,tpch,19477
16.sql,tpch,8736
10.sql,tpch,9530
13.sql,tpch,5837
5.sql,tpch,12196
3.sql,tpch,8326
1.sql,tpch,19424
7.sql,tpch,10899
2.sql,tpch,12747
21.sql,tpch,16804
22.sql,tpch,3268
6.sql,tpch,1172
19.sql,tpch,3568
20.sql,tpch,10742
4.sql,tpch,4816
12.sql,tpch,4298
15.sql,tpch,4748
11.sql,tpch,2319
9.sql,tpch,17812
8.sql,tpch,13895
query43.sql,tpcds,4952
query88.sql,tpcds,5652
query52.sql,tpcds,1297
query44.sql,tpcds,3928
query4.sql,tpcds,45393
query67.sql,tpcds,-1
query5.sql,tpcds,5964
query8.sql,tpcds,3174
query17.sql,tpcds,11475
query32.sql,tpcds,1667
query80.sql,tpcds,16747
query78.sql,tpcds,21068
query11.sql,tpcds,26513
query40.sql,tpcds,5230
query22.sql,tpcds,2829
query30.sql,tpcds,-1
query87.sql,tpcds,11885
query54.sql,tpcds,5155
query92.sql,tpcds,1852
query57.sql,tpcds,10362
query93.sql,tpcds,8862
query16.sql,tpcds,5473
query73.sql,tpcds,1598
query71.sql,tpcds,3026
query28.sql,tpcds,7211
query50.sql,tpcds,6369
query95.sql,tpcds,10541
query75.sql,tpcds,25933
query35.sql,tpcds,6483
query33.sql,tpcds,3987
query64.sql,tpcds,33575
query98.sql,tpcds,2006
query77.sql,tpcds,18582
query63.sql,tpcds,1605
query81.sql,tpcds,3640
query96.sql,tpcds,1063
query99.sql,tpcds,2104
query9.sql,tpcds,5232
query47.sql,tpcds,18232
query53.sql,tpcds,2101
query37.sql,tpcds,2153
query58.sql,tpcds,3799
query59.sql,tpcds,3383
query51.sql,tpcds,14355
query68.sql,tpcds,2960
