query,dataset,register_mean,bare_mean,rowgroup_mean,full_mean,vanilla_mean,nowrite_mean
13.sql,tpch,12776.666666666666,11339.111111111111,10213.555555555555,7532.555555555556,12720.444444444445,9001.555555555555
22.sql,tpch,3781.8888888888887,3782.6666666666665,3676.222222222222,3702.1111111111113,3837.6666666666665,4174.555555555556
31.sql,tpch,3545.1111111111113,3726.0,3768.8888888888887,3831.8888888888887,3604.1111111111113,4248.0
7.sql,tpch,17302.222222222223,21461.11111111111,16566.777777777777,16830.666666666668,16371.111111111111,17238.11111111111
4.sql,tpch,10586.0,6616.555555555556,8157.555555555556,7792.333333333333,6503.888888888889,6063.222222222223
19.sql,tpch,5394.555555555556,5755.222222222223,4841.333333333333,4456.444444444444,5850.333333333333,4969.0
query58.sql,tpcds,3890.5555555555557,4156.444444444444,4048.777777777778,4682.888888888889,5193.888888888889,3863.875
query20.sql,tpcds,1532.3333333333333,1605.111111111111,1620.4444444444443,1626.111111111111,1718.7777777777778,1560.75
query6.sql,tpcds,5877.111111111111,6055.333333333333,6466.111111111111,5885.555555555556,6532.222222222223,5987.125
query92.sql,tpcds,1662.6666666666667,1802.6666666666667,1974.7777777777778,1916.111111111111,1607.5555555555557,1788.875
query88.sql,tpcds,5881.444444444444,6376.888888888889,7468.888888888889,6196.666666666667,6017.111111111111,6400.875
query114.sql,tpcds,1845.6666666666667,2095.8888888888887,2280.3333333333335,2322.0,1962.111111111111,2839.375
query90.sql,tpcds,1803.888888888889,1865.6666666666667,1985.6666666666667,1935.111111111111,1805.5555555555557,1806.5
query37.sql,tpcds,2052.0,2093.3333333333335,2055.3333333333335,2046.2222222222222,2180.5555555555557,1908.875
query99.sql,tpcds,2336.5555555555557,2285.5555555555557,2624.1111111111113,2435.777777777778,2607.4444444444443,2434.0
query4.sql,tpcds,50506.444444444445,46606.444444444445,50796.22222222222,49668.88888888889,47668.88888888889,46052.142857142855
query68.sql,tpcds,5090.888888888889,4593.666666666667,6387.222222222223,3271.4444444444443,6604.0,3099.285714285714
query71.sql,tpcds,2811.777777777778,3453.6666666666665,3075.6666666666665,3175.6666666666665,2964.777777777778,2982.125
query78.sql,tpcds,29483.777777777777,31792.333333333332,23982.222222222223,32535.333333333332,33452.333333333336,24719.285714285714
32.sql,tpch,5702.666666666667,5792.777777777777,5586.666666666667,5842.333333333333,6111.111111111111,5640.222222222223
