query,dataset,runtime
38.sql,tpch,12180
18.sql,tpch,29854
30.sql,tpch,9172
23.sql,tpch,8432
37.sql,tpch,2304
32.sql,tpch,6128
12.sql,tpch,5292
6.sql,tpch,1953
21.sql,tpch,22555
25.sql,tpch,24425
17.sql,tpch,35214
11.sql,tpch,2654
27.sql,tpch,7678
9.sql,tpch,86236
2.sql,tpch,8009
29.sql,tpch,10822
33.sql,tpch,13051
34.sql,tpch,25589
15.sql,tpch,6572
1.sql,tpch,27158
14.sql,tpch,3005
20.sql,tpch,8958
13.sql,tpch,14023
5.sql,tpch,28984
22.sql,tpch,4950
10.sql,tpch,10556
31.sql,tpch,4388
28.sql,tpch,9686
36.sql,tpch,2306
3.sql,tpch,8678
7.sql,tpch,13056
35.sql,tpch,2216
16.sql,tpch,7379
24.sql,tpch,14202
4.sql,tpch,5884
8.sql,tpch,29575
19.sql,tpch,4861
26.sql,tpch,8088
38.sql,tpch,2747
18.sql,tpch,24573
30.sql,tpch,10343
23.sql,tpch,6530
37.sql,tpch,2113
32.sql,tpch,5917
12.sql,tpch,4938
6.sql,tpch,1652
21.sql,tpch,22905
25.sql,tpch,23537
17.sql,tpch,28915
11.sql,tpch,2318
27.sql,tpch,8118
9.sql,tpch,76391
2.sql,tpch,7200
29.sql,tpch,9280
33.sql,tpch,9004
34.sql,tpch,22704
15.sql,tpch,5835
1.sql,tpch,27174
14.sql,tpch,2870
20.sql,tpch,8233
13.sql,tpch,14468
5.sql,tpch,21037
22.sql,tpch,3362
10.sql,tpch,9180
31.sql,tpch,3653
28.sql,tpch,8324
36.sql,tpch,2367
3.sql,tpch,10492
7.sql,tpch,26204
35.sql,tpch,2183
16.sql,tpch,7337
24.sql,tpch,14558
4.sql,tpch,6362
8.sql,tpch,34346
19.sql,tpch,4985
26.sql,tpch,8031
38.sql,tpch,2931
18.sql,tpch,24999
30.sql,tpch,10514
23.sql,tpch,6484
37.sql,tpch,2106
32.sql,tpch,5799
12.sql,tpch,4848
6.sql,tpch,1473
21.sql,tpch,22473
25.sql,tpch,23571
17.sql,tpch,25091
11.sql,tpch,2567
27.sql,tpch,7687
9.sql,tpch,75567
2.sql,tpch,6939
29.sql,tpch,8932
33.sql,tpch,10191
34.sql,tpch,10952
15.sql,tpch,5574
1.sql,tpch,26942
14.sql,tpch,2776
20.sql,tpch,8307
13.sql,tpch,14472
5.sql,tpch,15510
22.sql,tpch,3755
10.sql,tpch,9002
31.sql,tpch,3306
28.sql,tpch,9447
36.sql,tpch,2453
3.sql,tpch,9708
7.sql,tpch,31163
35.sql,tpch,1928
16.sql,tpch,6689
24.sql,tpch,14738
4.sql,tpch,6272
8.sql,tpch,36942
19.sql,tpch,4345
26.sql,tpch,8642
38.sql,tpch,3066
