query,dataset,runtime
38.sql,tpch,8351
18.sql,tpch,30303
30.sql,tpch,29058
23.sql,tpch,6852
37.sql,tpch,13371
32.sql,tpch,6369
12.sql,tpch,12874
6.sql,tpch,2268
21.sql,tpch,23372
25.sql,tpch,25265
17.sql,tpch,28491
11.sql,tpch,8028
27.sql,tpch,16194
9.sql,tpch,25005
2.sql,tpch,8524
29.sql,tpch,8741
33.sql,tpch,7661
34.sql,tpch,10559
15.sql,tpch,5953
1.sql,tpch,27472
14.sql,tpch,2866
20.sql,tpch,8280
13.sql,tpch,13356
5.sql,tpch,11720
22.sql,tpch,4115
10.sql,tpch,10890
31.sql,tpch,3864
28.sql,tpch,8837
36.sql,tpch,2261
3.sql,tpch,8808
7.sql,tpch,13535
35.sql,tpch,2147
16.sql,tpch,6737
24.sql,tpch,14654
4.sql,tpch,6556
8.sql,tpch,16353
19.sql,tpch,6256
26.sql,tpch,8973
38.sql,tpch,2808
18.sql,tpch,27798
30.sql,tpch,9322
23.sql,tpch,6657
37.sql,tpch,2573
32.sql,tpch,6318
12.sql,tpch,6463
6.sql,tpch,1538
21.sql,tpch,20911
25.sql,tpch,24965
17.sql,tpch,24937
11.sql,tpch,2580
27.sql,tpch,8284
9.sql,tpch,64851
2.sql,tpch,8405
29.sql,tpch,9336
33.sql,tpch,7747
34.sql,tpch,10599
15.sql,tpch,5411
1.sql,tpch,27004
14.sql,tpch,2829
20.sql,tpch,8755
13.sql,tpch,13784
5.sql,tpch,17957
22.sql,tpch,3640
10.sql,tpch,11114
31.sql,tpch,3104
28.sql,tpch,8320
36.sql,tpch,2354
3.sql,tpch,7762
7.sql,tpch,12921
35.sql,tpch,2246
16.sql,tpch,7278
24.sql,tpch,14136
4.sql,tpch,6188
8.sql,tpch,50780
19.sql,tpch,5677
26.sql,tpch,8062
38.sql,tpch,2838
18.sql,tpch,26110
30.sql,tpch,10092
23.sql,tpch,6959
37.sql,tpch,2372
32.sql,tpch,6123
12.sql,tpch,5142
6.sql,tpch,1718
21.sql,tpch,27053
25.sql,tpch,24891
17.sql,tpch,28923
11.sql,tpch,2434
27.sql,tpch,7767
9.sql,tpch,84762
