query,dataset,register_mean,bare_mean,full_mean,vanilla_mean,nowrite_mean
13.sql,tpch,13556.333333333334,8624.888888888889,6966.555555555556,9201.888888888889,10956.333333333334
22.sql,tpch,3749.777777777778,3546.3333333333335,3528.5555555555557,3859.5555555555557,3475.3333333333335
31.sql,tpch,3829.0,3296.4444444444443,3363.4444444444443,3464.1111111111113,3373.1111111111113
7.sql,tpch,17222.555555555555,16296.333333333334,20792.0,15069.888888888889,16405.666666666668
4.sql,tpch,10238.333333333334,6151.666666666667,5966.555555555556,7570.222222222223,6118.444444444444
19.sql,tpch,4959.777777777777,4249.666666666667,4510.777777777777,5237.333333333333,4567.888888888889
query58.sql,tpcds,3933.0,4060.0,3961.5555555555557,5058.666666666667,3699.6666666666665
query20.sql,tpcds,1531.7777777777778,1504.888888888889,1438.7777777777778,1460.7777777777778,1372.0
query6.sql,tpcds,5734.111111111111,5927.888888888889,6370.444444444444,6078.333333333333,5963.444444444444
query92.sql,tpcds,1988.4444444444443,1662.7777777777778,1645.7777777777778,1863.111111111111,1951.7777777777778
query88.sql,tpcds,6262.777777777777,6249.0,6037.777777777777,6063.777777777777,6143.222222222223
query114.sql,tpcds,2193.777777777778,2127.222222222222,2362.5555555555557,2247.3333333333335,2077.8888888888887
query90.sql,tpcds,1709.111111111111,1759.111111111111,1795.111111111111,1771.2222222222222,1822.111111111111
query37.sql,tpcds,2120.3333333333335,1944.111111111111,1920.7777777777778,2031.6666666666667,2005.2222222222222
query99.sql,tpcds,2353.1111111111113,2228.222222222222,2394.222222222222,2255.222222222222,2281.8888888888887
query4.sql,tpcds,49631.77777777778,45881.333333333336,53976.444444444445,45671.444444444445,46552.22222222222
query68.sql,tpcds,3202.3333333333335,3141.1111111111113,3288.777777777778,6382.666666666667,2897.6666666666665
query71.sql,tpcds,2735.3333333333335,2809.5555555555557,2960.8888888888887,2825.222222222222,2986.4444444444443
query78.sql,tpcds,31876.0,26027.333333333332,29595.666666666668,23726.777777777777,26832.222222222223
32.sql,tpch,6038.888888888889,5752.666666666667,5670.888888888889,5736.0,5927.555555555556
1.sql,tpch,27449.555555555555,26986.666666666668,26696.222222222223,27763.555555555555,27209.555555555555
36.sql,tpch,2834.1111111111113,2595.5555555555557,2659.3333333333335,2489.0,2551.6666666666665
query131.sql,tpcds,1782.888888888889,1655.0,1688.4444444444443,1762.4444444444443,1756.5555555555557
query121.sql,tpcds,2164.5555555555557,1996.7777777777778,2291.1111111111113,2121.4444444444443,2006.888888888889
query116.sql,tpcds,2092.5555555555557,2141.4444444444443,2206.222222222222,2136.1111111111113,2051.1111111111113
query104.sql,tpcds,945.8888888888889,971.2222222222222,865.7777777777778,979.5555555555555,873.6666666666666
query65.sql,tpcds,5230.777777777777,5040.111111111111,5728.555555555556,5662.111111111111,5317.111111111111
query130.sql,tpcds,1792.888888888889,1602.6666666666667,1649.0,1767.0,1646.4444444444443
query54.sql,tpcds,5894.111111111111,5747.0,5853.111111111111,5746.666666666667,5625.0
query72.sql,tpcds,25656.0,25853.777777777777,28982.444444444445,26676.222222222223,25803.444444444445
query100.sql,tpcds,956.0,948.4444444444445,954.4444444444445,984.8888888888889,972.6666666666666
query7.sql,tpcds,3653.0,3603.0,3449.4444444444443,4109.111111111111,3592.222222222222
query87.sql,tpcds,9922.0,9717.0,9867.555555555555,9946.333333333334,9959.555555555555
query98.sql,tpcds,1599.5555555555557,1665.5555555555557,1793.3333333333333,1761.4444444444443,1591.0
query63.sql,tpcds,2141.0,1680.4444444444443,1912.7777777777778,1902.888888888889,1602.6666666666667
query96.sql,tpcds,1039.2222222222222,968.6666666666666,1044.111111111111,900.1111111111111,1062.2222222222222
query60.sql,tpcds,4125.333333333333,4188.333333333333,4311.444444444444,3970.1111111111113,4078.4444444444443
query62.sql,tpcds,1710.7777777777778,1729.2222222222222,1823.111111111111,2022.6666666666667,1685.7777777777778
query44.sql,tpcds,2994.4444444444443,2673.8888888888887,2975.8888888888887,3091.4444444444443,2719.4444444444443
query74.sql,tpcds,26198.777777777777,25147.444444444445,25637.333333333332,27195.222222222223,24869.444444444445
query46.sql,tpcds,3015.777777777778,3012.0,2852.4444444444443,2609.4444444444443,2722.4444444444443
query119.sql,tpcds,2565.5555555555557,2588.0,2642.6666666666665,2722.5555555555557,2594.8888888888887
