query,dataset,runtime
38.sql,tpch,9442
18.sql,tpch,29834
30.sql,tpch,8938
23.sql,tpch,7346
37.sql,tpch,2685
32.sql,tpch,6650
12.sql,tpch,5654
6.sql,tpch,1898
21.sql,tpch,22124
25.sql,tpch,22713
17.sql,tpch,25145
11.sql,tpch,2682
27.sql,tpch,8298
9.sql,tpch,29688
2.sql,tpch,7244
29.sql,tpch,9344
33.sql,tpch,7723
34.sql,tpch,10778
15.sql,tpch,5772
1.sql,tpch,28497
14.sql,tpch,2813
20.sql,tpch,8532
13.sql,tpch,7246
5.sql,tpch,13472
22.sql,tpch,3565
10.sql,tpch,9536
31.sql,tpch,3177
28.sql,tpch,8190
36.sql,tpch,2379
3.sql,tpch,8489
7.sql,tpch,13390
35.sql,tpch,2002
16.sql,tpch,6945
24.sql,tpch,14780
4.sql,tpch,6348
8.sql,tpch,15735
19.sql,tpch,4099
26.sql,tpch,9321
38.sql,tpch,2837
18.sql,tpch,26766
30.sql,tpch,9372
23.sql,tpch,7617
37.sql,tpch,2102
32.sql,tpch,5516
12.sql,tpch,4954
6.sql,tpch,1534
21.sql,tpch,20686
25.sql,tpch,23913
17.sql,tpch,25158
11.sql,tpch,2324
27.sql,tpch,8709
9.sql,tpch,52927
2.sql,tpch,6248
29.sql,tpch,8117
33.sql,tpch,7586
34.sql,tpch,9652
15.sql,tpch,5552
1.sql,tpch,26889
14.sql,tpch,2807
20.sql,tpch,8255
13.sql,tpch,6852
5.sql,tpch,12545
22.sql,tpch,3694
10.sql,tpch,9529
31.sql,tpch,3332
28.sql,tpch,7733
36.sql,tpch,2687
3.sql,tpch,9832
7.sql,tpch,22539
35.sql,tpch,2489
16.sql,tpch,6922
24.sql,tpch,14741
4.sql,tpch,6012
8.sql,tpch,31082
19.sql,tpch,3736
26.sql,tpch,8645
38.sql,tpch,2842
18.sql,tpch,25099
30.sql,tpch,9107
23.sql,tpch,6682
37.sql,tpch,2263
32.sql,tpch,5698
12.sql,tpch,4806
6.sql,tpch,1631
21.sql,tpch,33550
25.sql,tpch,24623
17.sql,tpch,28486
11.sql,tpch,2155
27.sql,tpch,7654
9.sql,tpch,46397
2.sql,tpch,6078
29.sql,tpch,8829
33.sql,tpch,7531
34.sql,tpch,9601
15.sql,tpch,5154
1.sql,tpch,26919
14.sql,tpch,2763
20.sql,tpch,8351
13.sql,tpch,6682
5.sql,tpch,13940
22.sql,tpch,3547
10.sql,tpch,9198
31.sql,tpch,3438
28.sql,tpch,8006
36.sql,tpch,2734
3.sql,tpch,8255
7.sql,tpch,14059
35.sql,tpch,2097
16.sql,tpch,6533
24.sql,tpch,14449
4.sql,tpch,5991
8.sql,tpch,32259
19.sql,tpch,4118
26.sql,tpch,8356
38.sql,tpch,2607
18.sql,tpch,26097
30.sql,tpch,8845
23.sql,tpch,6713
37.sql,tpch,2362
32.sql,tpch,6008
12.sql,tpch,5109
6.sql,tpch,1845
21.sql,tpch,23811
25.sql,tpch,24412
17.sql,tpch,25492
11.sql,tpch,2225
27.sql,tpch,8229
9.sql,tpch,59004
2.sql,tpch,7389
29.sql,tpch,8308
33.sql,tpch,12152
34.sql,tpch,24330
15.sql,tpch,5364
1.sql,tpch,27576
14.sql,tpch,2773
20.sql,tpch,8580
13.sql,tpch,6853
5.sql,tpch,19234
22.sql,tpch,3386
10.sql,tpch,9569
31.sql,tpch,3323
28.sql,tpch,10516
36.sql,tpch,3063
3.sql,tpch,7615
7.sql,tpch,12654
35.sql,tpch,1860
16.sql,tpch,6929
24.sql,tpch,14219
4.sql,tpch,5935
8.sql,tpch,24598
19.sql,tpch,3700
26.sql,tpch,8197
38.sql,tpch,2582
18.sql,tpch,25315
30.sql,tpch,8801
23.sql,tpch,6632
37.sql,tpch,2031
32.sql,tpch,5783
12.sql,tpch,4917
6.sql,tpch,1450
21.sql,tpch,20764
25.sql,tpch,24361
17.sql,tpch,28049
11.sql,tpch,2186
27.sql,tpch,7980
9.sql,tpch,22296
2.sql,tpch,6676
29.sql,tpch,7996
33.sql,tpch,7530
34.sql,tpch,10674
15.sql,tpch,5630
1.sql,tpch,26590
14.sql,tpch,2670
20.sql,tpch,8387
13.sql,tpch,6701
5.sql,tpch,16529
