query,dataset,runtime
38.sql,tpch,8312
18.sql,tpch,28915
30.sql,tpch,10023
23.sql,tpch,8565
37.sql,tpch,2591
32.sql,tpch,6513
12.sql,tpch,5245
6.sql,tpch,1627
21.sql,tpch,22697
25.sql,tpch,25562
17.sql,tpch,33568
11.sql,tpch,2858
27.sql,tpch,8150
9.sql,tpch,86958
2.sql,tpch,7532
29.sql,tpch,8662
33.sql,tpch,15483
34.sql,tpch,25766
15.sql,tpch,6560
1.sql,tpch,26420
14.sql,tpch,3391
20.sql,tpch,10000
13.sql,tpch,7077
5.sql,tpch,24671
22.sql,tpch,3919
10.sql,tpch,10610
31.sql,tpch,4013
28.sql,tpch,11061
36.sql,tpch,2612
3.sql,tpch,9420
7.sql,tpch,13844
35.sql,tpch,1996
16.sql,tpch,7076
24.sql,tpch,13834
4.sql,tpch,6117
8.sql,tpch,48793
19.sql,tpch,4310
26.sql,tpch,8196
38.sql,tpch,2646
18.sql,tpch,25931
30.sql,tpch,9693
23.sql,tpch,6482
37.sql,tpch,2147
32.sql,tpch,5670
12.sql,tpch,4946
6.sql,tpch,1523
21.sql,tpch,26680
25.sql,tpch,24759
17.sql,tpch,29248
11.sql,tpch,2460
27.sql,tpch,7731
9.sql,tpch,106477
2.sql,tpch,7197
29.sql,tpch,17871
33.sql,tpch,13625
34.sql,tpch,32958
15.sql,tpch,6342
1.sql,tpch,26512
14.sql,tpch,2778
20.sql,tpch,8668
13.sql,tpch,15510
5.sql,tpch,28702
22.sql,tpch,3336
10.sql,tpch,10836
31.sql,tpch,3690
28.sql,tpch,11074
36.sql,tpch,2385
3.sql,tpch,11642
7.sql,tpch,18974
35.sql,tpch,1990
16.sql,tpch,6916
24.sql,tpch,14059
4.sql,tpch,15437
8.sql,tpch,60683
19.sql,tpch,4627
26.sql,tpch,8043
38.sql,tpch,2571
18.sql,tpch,27072
30.sql,tpch,8294
23.sql,tpch,6461
37.sql,tpch,4554
32.sql,tpch,8005
12.sql,tpch,5144
6.sql,tpch,1703
21.sql,tpch,32051
25.sql,tpch,24110
17.sql,tpch,39790
11.sql,tpch,2256
27.sql,tpch,7870
9.sql,tpch,159062
2.sql,tpch,6355
29.sql,tpch,9563
33.sql,tpch,15995
34.sql,tpch,31236
15.sql,tpch,5303
1.sql,tpch,26680
14.sql,tpch,2987
20.sql,tpch,8261
13.sql,tpch,14534
5.sql,tpch,25533
22.sql,tpch,3478
10.sql,tpch,9363
31.sql,tpch,3739
28.sql,tpch,9185
36.sql,tpch,2457
3.sql,tpch,17735
7.sql,tpch,17299
35.sql,tpch,2202
16.sql,tpch,6910
24.sql,tpch,14202
4.sql,tpch,13235
8.sql,tpch,57747
19.sql,tpch,4142
26.sql,tpch,8080
38.sql,tpch,2799
18.sql,tpch,30321
30.sql,tpch,10612
23.sql,tpch,6610
37.sql,tpch,2327
32.sql,tpch,5732
12.sql,tpch,5249
6.sql,tpch,1402
21.sql,tpch,20942
25.sql,tpch,23750
17.sql,tpch,24209
11.sql,tpch,2194
27.sql,tpch,8171
9.sql,tpch,56510
2.sql,tpch,7262
29.sql,tpch,9813
33.sql,tpch,11405
34.sql,tpch,27622
15.sql,tpch,5248
1.sql,tpch,26619
14.sql,tpch,3087
20.sql,tpch,8912
13.sql,tpch,13284
5.sql,tpch,14171
22.sql,tpch,3774
10.sql,tpch,9094
31.sql,tpch,3741
28.sql,tpch,8080
36.sql,tpch,2774
3.sql,tpch,8159
7.sql,tpch,21597
35.sql,tpch,2439
16.sql,tpch,7088
24.sql,tpch,13869
4.sql,tpch,6484
8.sql,tpch,36168
19.sql,tpch,4182
26.sql,tpch,8450
38.sql,tpch,3205
18.sql,tpch,25142
30.sql,tpch,9150
