query,dataset,runtime
38.sql,tpch,61199
18.sql,tpch,39207
30.sql,tpch,11311
23.sql,tpch,7818
37.sql,tpch,2206
32.sql,tpch,6241
12.sql,tpch,14362
6.sql,tpch,1815
21.sql,tpch,23714
25.sql,tpch,23903
17.sql,tpch,25166
11.sql,tpch,6140
27.sql,tpch,8192
9.sql,tpch,54263
2.sql,tpch,6785
29.sql,tpch,10871
33.sql,tpch,8378
34.sql,tpch,22868
15.sql,tpch,5858
1.sql,tpch,27531
14.sql,tpch,3704
20.sql,tpch,9139
13.sql,tpch,12109
5.sql,tpch,13362
22.sql,tpch,4460
10.sql,tpch,11511
31.sql,tpch,3936
28.sql,tpch,10013
36.sql,tpch,2351
3.sql,tpch,7850
7.sql,tpch,12810
35.sql,tpch,2022
16.sql,tpch,7789
24.sql,tpch,14173
4.sql,tpch,9146
8.sql,tpch,16632
19.sql,tpch,7729
26.sql,tpch,8204
38.sql,tpch,2737
18.sql,tpch,26629
30.sql,tpch,8822
23.sql,tpch,6712
37.sql,tpch,2397
32.sql,tpch,6016
12.sql,tpch,12837
6.sql,tpch,1901
21.sql,tpch,21182
25.sql,tpch,24365
17.sql,tpch,28930
11.sql,tpch,3786
27.sql,tpch,7435
9.sql,tpch,82684
2.sql,tpch,6573
29.sql,tpch,9208
33.sql,tpch,7342
34.sql,tpch,9688
15.sql,tpch,5630
1.sql,tpch,27470
14.sql,tpch,3049
20.sql,tpch,8168
13.sql,tpch,12611
5.sql,tpch,15605
22.sql,tpch,4064
10.sql,tpch,10170
31.sql,tpch,3414
28.sql,tpch,7964
36.sql,tpch,2183
3.sql,tpch,7716
7.sql,tpch,12287
35.sql,tpch,2360
16.sql,tpch,7292
24.sql,tpch,14218
4.sql,tpch,15768
8.sql,tpch,32589
19.sql,tpch,6046
26.sql,tpch,8091
38.sql,tpch,2844
18.sql,tpch,25697
30.sql,tpch,8615
23.sql,tpch,6684
37.sql,tpch,2153
32.sql,tpch,5830
12.sql,tpch,5657
6.sql,tpch,1467
21.sql,tpch,23447
25.sql,tpch,24758
17.sql,tpch,45710
11.sql,tpch,3906
27.sql,tpch,8538
9.sql,tpch,29336
2.sql,tpch,7002
29.sql,tpch,8978
33.sql,tpch,8266
34.sql,tpch,10918
15.sql,tpch,5390
1.sql,tpch,26869
14.sql,tpch,2896
20.sql,tpch,8575
13.sql,tpch,11856
5.sql,tpch,15384
22.sql,tpch,4204
10.sql,tpch,9738
31.sql,tpch,3726
28.sql,tpch,7800
36.sql,tpch,2698
3.sql,tpch,7815
7.sql,tpch,13917
35.sql,tpch,2242
16.sql,tpch,6673
24.sql,tpch,15077
4.sql,tpch,7004
8.sql,tpch,15739
19.sql,tpch,6319
26.sql,tpch,8060
38.sql,tpch,2719
18.sql,tpch,25973
30.sql,tpch,9003
23.sql,tpch,6525
37.sql,tpch,2340
32.sql,tpch,5693
12.sql,tpch,5072
6.sql,tpch,1549
21.sql,tpch,21797
25.sql,tpch,24144
17.sql,tpch,25374
11.sql,tpch,2348
27.sql,tpch,8136
9.sql,tpch,26120
2.sql,tpch,6990
29.sql,tpch,8254
33.sql,tpch,7604
34.sql,tpch,10003
15.sql,tpch,5335
1.sql,tpch,27078
14.sql,tpch,2967
20.sql,tpch,8133
13.sql,tpch,7473
5.sql,tpch,13821
22.sql,tpch,3314
10.sql,tpch,8824
31.sql,tpch,3245
28.sql,tpch,8189
36.sql,tpch,2331
3.sql,tpch,8011
7.sql,tpch,12463
35.sql,tpch,2546
16.sql,tpch,7034
24.sql,tpch,13849
4.sql,tpch,6568
8.sql,tpch,16142
19.sql,tpch,4829
26.sql,tpch,8112
38.sql,tpch,2755
18.sql,tpch,25965
30.sql,tpch,9024
23.sql,tpch,6546
37.sql,tpch,2230
32.sql,tpch,5406
12.sql,tpch,4937
6.sql,tpch,1609
21.sql,tpch,20870
25.sql,tpch,24212
17.sql,tpch,25054
11.sql,tpch,2248
27.sql,tpch,8121
9.sql,tpch,55983
2.sql,tpch,6774
29.sql,tpch,8832
33.sql,tpch,7950
34.sql,tpch,25680
15.sql,tpch,5336
1.sql,tpch,27140
14.sql,tpch,3035
20.sql,tpch,8242
13.sql,tpch,8129
