,query,dataset,runtime
0,33.sql,tpch,401704.0
1,34.sql,tpch,428268.0
2,33.sql,tpch,454092.0
3,6.sql,tpch,1077893.0
4,2.sql,tpch,862670.0
5,1.sql,tpch,1271315.0
6,5.sql,tpch,10103550.0
7,3.sql,tpch,3377998.0
8,7.sql,tpch,4387947.0
9,4.sql,tpch,1755886.0
10,12.sql,tpch,1380023.0
11,11.sql,tpch,499133.0
12,9.sql,tpch,16901204.0
13,14.sql,tpch,1580677.0
14,13.sql,tpch,1214489.0
15,10.sql,tpch,3065791.0
16,8.sql,tpch,13371271.0
17,30.sql,tpch,3642354.0
18,23.sql,tpch,361443.0
19,37.sql,tpch,1420669.0
20,32.sql,tpch,431749.0
21,12.sql,tpch,1533068.0
22,6.sql,tpch,1099440.0
23,21.sql,tpch,17667196.0
24,25.sql,tpch,378771.0
25,17.sql,tpch,13590528.0
26,11.sql,tpch,1385681.0
27,27.sql,tpch,3865585.0
28,9.sql,tpch,24835951.0
29,2.sql,tpch,1074288.0
30,29.sql,tpch,3383261.0
31,30.sql,tpch,2733674.0
32,23.sql,tpch,406452.0
33,37.sql,tpch,1428421.0
34,32.sql,tpch,458452.0
35,12.sql,tpch,1496969.0
36,6.sql,tpch,1106708.0
37,21.sql,tpch,14404861.0
38,25.sql,tpch,389013.0
39,17.sql,tpch,10474304.0
40,11.sql,tpch,949688.0
41,27.sql,tpch,3202518.0
42,33.sql,tpch,401704.0
43,34.sql,tpch,428268.0
44,33.sql,tpch,454092.0
45,6.sql,tpch,1077893.0
46,2.sql,tpch,862670.0
47,1.sql,tpch,1271315.0
48,5.sql,tpch,10103550.0
49,3.sql,tpch,3377998.0
50,7.sql,tpch,4387947.0
51,4.sql,tpch,1755886.0
52,12.sql,tpch,1380023.0
53,11.sql,tpch,499133.0
54,9.sql,tpch,16901204.0
55,14.sql,tpch,1580677.0
56,13.sql,tpch,1214489.0
57,10.sql,tpch,3065791.0
58,8.sql,tpch,13371271.0
59,23.sql,tpch,395713.0
60,25.sql,tpch,430988.0
61,27.sql,tpch,3463412.0
62,29.sql,tpch,3561179.0
63,28.sql,tpch,3516943.0
64,24.sql,tpch,358575.0
65,26.sql,tpch,348850.0
66,30.sql,tpch,3509284.0
67,37.sql,tpch,1408195.0
68,32.sql,tpch,418251.0
69,33.sql,tpch,427096.0
70,34.sql,tpch,442374.0
71,31.sql,tpch,429256.0
72,36.sql,tpch,1412469.0
73,35.sql,tpch,1398704.0
74,29.sql,tpch,3286250
75,13.sql,tpch,1176642
76,5.sql,tpch,10100384
77,31.sql,tpch,411087
78,17.sql,tpch,12447581
79,1.sql,tpch,1231308
80,14.sql,tpch,1549247
81,36.sql,tpch,1408933
82,21.sql,tpch,14603896
83,28.sql,tpch,3225327
84,35.sql,tpch,1425392
85,4.sql,tpch,1850993
86,7.sql,tpch,4531905
87,24.sql,tpch,425269
88,8.sql,tpch,12381773
89,10.sql,tpch,2861514
90,3.sql,tpch,3564069
91,26.sql,tpch,361490
92,17.sql,tpch,11269030
93,1.sql,tpch,1277056
94,14.sql,tpch,1617209
95,36.sql,tpch,1423827
96,29.sql,tpch,3194109
97,7.sql,tpch,4485292
98,26.sql,tpch,358753
99,3.sql,tpch,3583762
100,24.sql,tpch,400291
101,8.sql,tpch,11699147
102,13.sql,tpch,1183048
103,5.sql,tpch,9160040
104,28.sql,tpch,2997295
105,35.sql,tpch,1420958
106,16.sql,tpch,180796
107,19.sql,tpch,1924357
108,33.sql,tpch,401704.0
109,34.sql,tpch,428268.0
110,33.sql,tpch,454092.0
111,6.sql,tpch,1077893.0
112,2.sql,tpch,862670.0
113,1.sql,tpch,1271315.0
114,5.sql,tpch,10103550.0
115,3.sql,tpch,3377998.0
116,7.sql,tpch,4387947.0
117,4.sql,tpch,1755886.0
118,12.sql,tpch,1380023.0
119,11.sql,tpch,499133.0
120,9.sql,tpch,16901204.0
121,14.sql,tpch,1580677.0
122,13.sql,tpch,1214489.0
123,10.sql,tpch,3065791.0
124,8.sql,tpch,13371271.0
125,30.sql,tpch,3642354.0
126,23.sql,tpch,361443.0
127,37.sql,tpch,1420669.0
128,32.sql,tpch,431749.0
129,12.sql,tpch,1533068.0
130,6.sql,tpch,1099440.0
131,21.sql,tpch,17667196.0
