query,dataset,runtime
30.sql,tpch,3842630
23.sql,tpch,416631
37.sql,tpch,1434868
32.sql,tpch,412763
12.sql,tpch,1662168
6.sql,tpch,1107402
21.sql,tpch,17682286
25.sql,tpch,371170
17.sql,tpch,10805109
11.sql,tpch,922422
27.sql,tpch,3355561
9.sql,tpch,19548027
2.sql,tpch,1302438
29.sql,tpch,3555594
33.sql,tpch,498531
34.sql,tpch,522014
15.sql,tpch,3103232
1.sql,tpch,1236018
14.sql,tpch,1695185
20.sql,tpch,2391306
13.sql,tpch,1189790
5.sql,tpch,15023767
22.sql,tpch,534545
10.sql,tpch,4406742
31.sql,tpch,433472
28.sql,tpch,3550769
36.sql,tpch,1440629
3.sql,tpch,4410118
7.sql,tpch,5520988
35.sql,tpch,1435213
16.sql,tpch,473308
24.sql,tpch,454813
6.sql,tpch,1097422
2.sql,tpch,720446
1.sql,tpch,1243984
5.sql,tpch,10705040
3.sql,tpch,3821407
7.sql,tpch,4853411
4.sql,tpch,1646428
12.sql,tpch,1603758
11.sql,tpch,617049
9.sql,tpch,16296268
14.sql,tpch,1639887
13.sql,tpch,1204853
10.sql,tpch,3529684
8.sql,tpch,12138280
23.sql,tpch,395871
25.sql,tpch,398175
27.sql,tpch,3174065
29.sql,tpch,3371036
28.sql,tpch,3374327
24.sql,tpch,378482
26.sql,tpch,354324
30.sql,tpch,3177766
37.sql,tpch,1412045
32.sql,tpch,407666
33.sql,tpch,417392
34.sql,tpch,434661
31.sql,tpch,403253
36.sql,tpch,1404071
35.sql,tpch,1415350
30.sql,tpch,3427527
6.sql,tpch,1098479
29.sql,tpch,3717971
33.sql,tpch,396391
20.sql,tpch,2449908
5.sql,tpch,9695172
3.sql,tpch,3760657
25.sql,tpch,400778
11.sql,tpch,342805
34.sql,tpch,545747
13.sql,tpch,1287286
22.sql,tpch,329989
36.sql,tpch,1425791
16.sql,tpch,239593
37.sql,tpch,1434784
17.sql,tpch,10506224
27.sql,tpch,3302901
14.sql,tpch,1606703
28.sql,tpch,3056143
24.sql,tpch,384124
4.sql,tpch,1706849
23.sql,tpch,375938
32.sql,tpch,429000
9.sql,tpch,16643297
15.sql,tpch,3055453
31.sql,tpch,424673
35.sql,tpch,1424113
8.sql,tpch,12271900
12.sql,tpch,1561055
21.sql,tpch,15807680
2.sql,tpch,1008825
1.sql,tpch,1235967
10.sql,tpch,3459739
7.sql,tpch,4536053
26.sql,tpch,355855
22.sql,tpch,281390
16.sql,tpch,168164
17.sql,tpch,11212685
4.sql,tpch,1802492
15.sql,tpch,3113032
8.sql,tpch,13242927
21.sql,tpch,17717140
26.sql,tpch,357188
20.sql,tpch,2346151
19.sql,tpch,1914983
19.sql,tpch,1918567
19.sql,tpch,1928825
