query,dataset,runtime
6.sql,tpch,1105821
2.sql,tpch,862174
1.sql,tpch,1222959
5.sql,tpch,10945243
3.sql,tpch,4252779
7.sql,tpch,4614190
4.sql,tpch,2135785
12.sql,tpch,1358363
11.sql,tpch,399010
9.sql,tpch,19789771
14.sql,tpch,1682980
13.sql,tpch,1191575
10.sql,tpch,3380009
23.sql,tpch,400164
25.sql,tpch,394443
27.sql,tpch,3140824
29.sql,tpch,3482306
28.sql,tpch,3664760
24.sql,tpch,387766
26.sql,tpch,360875
30.sql,tpch,3157978
37.sql,tpch,1438951
32.sql,tpch,413624
33.sql,tpch,379505
34.sql,tpch,404409
31.sql,tpch,372234
36.sql,tpch,1412307
35.sql,tpch,1400242
23.sql,tpch,423374
6.sql,tpch,1103808
11.sql,tpch,767788
32.sql,tpch,439388
12.sql,tpch,1482300
2.sql,tpch,746623
1.sql,tpch,1261094
10.sql,tpch,4392657
28.sql,tpch,3371939
37.sql,tpch,1428678
29.sql,tpch,3099010
13.sql,tpch,1173476
36.sql,tpch,1423033
35.sql,tpch,1425249
4.sql,tpch,2033045
30.sql,tpch,3120538
27.sql,tpch,3056132
14.sql,tpch,1683042
31.sql,tpch,432173
7.sql,tpch,4556176
25.sql,tpch,412758
9.sql,tpch,15665176
34.sql,tpch,456777
3.sql,tpch,3894211
26.sql,tpch,375316
25.sql,tpch,395724
27.sql,tpch,2713964
33.sql,tpch,424435
20.sql,tpch,2291733
22.sql,tpch,341193
4.sql,tpch,1819378
37.sql,tpch,1441547
12.sql,tpch,1549122
21.sql,tpch,17142980
29.sql,tpch,3201841
31.sql,tpch,379837
3.sql,tpch,4081187
35.sql,tpch,1423166
16.sql,tpch,463688
24.sql,tpch,366516
26.sql,tpch,357016
30.sql,tpch,3660085
6.sql,tpch,1091916
17.sql,tpch,12288105
9.sql,tpch,21680905
34.sql,tpch,435187
1.sql,tpch,1244683
14.sql,tpch,1551694
8.sql,tpch,15505391
11.sql,tpch,381232
2.sql,tpch,1158966
15.sql,tpch,3096943
10.sql,tpch,3573507
28.sql,tpch,3812975
36.sql,tpch,1436723
19.sql,tpch,1920185
23.sql,tpch,385332
32.sql,tpch,449036
21.sql,tpch,15441781
17.sql,tpch,11277441
20.sql,tpch,2238105
22.sql,tpch,316459
16.sql,tpch,168420
15.sql,tpch,3119218
7.sql,tpch,4758230
19.sql,tpch,1941392
13.sql,tpch,1257449
24.sql,tpch,422626
8.sql,tpch,11945020
15.sql,tpch,3081402
5.sql,tpch,9500202
17.sql,tpch,11329178
22.sql,tpch,441554
33.sql,tpch,438532
19.sql,tpch,1905839
21.sql,tpch,15781478
8.sql,tpch,13025250
15.sql,tpch,3075027
5.sql,tpch,11144923
17.sql,tpch,12233594
20.sql,tpch,2465895
22.sql,tpch,305126
21.sql,tpch,17107456
8.sql,tpch,12416456
