query_id,bytes_vod,t_vod,rows_vod,bytes_freq,t_freq,rows_freq,bytes_random,t_random,rows_random,bytes_plain,t_plain,rows_plain,value
01.sql,742781,0.156707795,493325127,742781,0.128861095,493325127,742493,0.133665728,493325127,742493,0.153104865,493325127,1
02.sql,4038997,0.503136246,2785499147,4039253,0.48528486,2785499147,4040623,0.487590099,2785499147,4038997,0.507491636,2785499147,1
03.sql,4935739,0.51181598,3604593049,4935739,0.196742948,3604593049,5971540,0.253698519,3604593049,5971540,0.274685156,3604593049,1
04.sql,10449797,2.848837307,12790350294,10437008,2.865156915,12790350294,15909105,2.687407407,12790350294,15907513,2.822390178,12790350294,1
05.sql,7058999,0.399592305,8228960149,7059255,0.377266474,8228960149,12429850,0.550478715,8228960149,12429850,0.55428827,8228960149,1
06.sql,1893757,0.467082241,3606870098,1893757,0.461867672,3606870098,6007392,0.540698846,3606870098,6007392,0.506457373,3606870098,1
07.sql,3872884,0.242278672,3635326260,3872884,0.235827143,3635326260,12935544,0.525612051,3635326260,12935544,0.520714586,3635326260,1
08.sql,1947008,0.217831311,3607149127,1947008,0.189506254,3607149127,5897185,0.343360106,3607149127,5897185,0.361561525,3607149127,1
09.sql,5913767,1.856566896,54067200075,5913767,1.549719013,54067200075,5912002,1.567541085,54067200075,5912002,1.580140291,54067200075,1
10.sql,4839182,0.266078245,6422875947,4838926,0.271380618,6422875947,7531960,0.307378386,6422875947,7531756,0.302200105,6422875947,1
11.sql,5698569,1.924755945,9182260196,5698825,1.886588042,9182260196,9463041,1.602347847,9182260196,9460234,1.621196842,9182260196,1
12.sql,1723206,0.120720909,983153049,1723206,0.12122584,983153049,1723206,0.120349352,983153049,1723206,0.116146987,983153049,1
13.sql,4348626,0.321068195,3635725127,4347346,0.37143737,3635725127,15588384,0.760380814,3635725127,15588384,0.772093054,3635725127,1
14.sql,9460113,1.853174227,19170217441,9460430,1.770298349,19170217441,12306725,2.126843467,19170217441,12306213,2.115163661,19170217441,1
15.sql,1467798,0.212230759,1804477049,1467798,0.205842872,1804477049,1467798,0.204030661,1804477049,1467798,0.205025873,1804477049,1
16.sql,1646843,0.108950929,3932665049,1646843,0.106152481,3932665049,1646843,0.101601342,3932665049,1646843,0.10314634,3932665049,1
17.sql,4547952,0.268722136,5898499225,4547696,0.266227206,5898499225,12468177,0.458326958,5898499225,12470993,0.444000256,5898499225,1
18.sql,2754492,0.732992644,9329913245,2754630,0.706108161,9329913245,2753249,0.736672598,9329913245,2755956,0.703584351,9329913245,1
19.sql,2050062,1.595702635,3606757127,2050574,1.588692115,3606757127,8672985,1.846762521,3606757127,8672985,1.811954474,3606757127,1
20.sql,1397151,0.113670516,1802353049,1397151,0.103847668,1802353049,1396895,0.102235167,1802353049,1397151,0.105772909,1802353049,1
21.sql,180871,0.054769545,1310833055,180871,0.048584476,1310833055,180581,0.055294103,1310833055,180871,0.068525869,1310833055,1
22.sql,394306,0.839177099,6554165275,394562,0.803022609,6554165275,393353,0.809353225,6554165275,394656,0.803548239,6554165275,1
23.sql,10820813,5.942638511,13605980196,10820874,5.477161744,13605980196,12505589,6.433038062,13605980196,12505442,6.595573531,13605980196,1
24.sql,9132572,0.703378303,4098204078,9132572,0.676813362,4098204078,9130638,0.6625633,4098204078,9130638,0.662464253,4098204078,1
