query,dataset,run_number,vanilla_time_sec
1.sql,tpch,1,30.63
10.sql,tpch,1,22.37
11.sql,tpch,1,11.93
12.sql,tpch,1,17.08
13.sql,tpch,1,18.76
14.sql,tpch,1,14.95
15.sql,tpch,1,17.46
16.sql,tpch,1,18.60
17.sql,tpch,1,33.20
18.sql,tpch,1,34.73
19.sql,tpch,1,14.78
2.sql,tpch,1,15.57
20.sql,tpch,1,16.63
21.sql,tpch,1,32.64
22.sql,tpch,1,15.46
3.sql,tpch,1,23.74
4.sql,tpch,1,22.61
5.sql,tpch,1,34.65
6.sql,tpch,1,11.34
7.sql,tpch,1,29.10
8.sql,tpch,1,23.97
9.sql,tpch,1,30.17
query1.sql,tpcds,1,15.27
query10.sql,tpcds,1,15.84
query11.sql,tpcds,1,28.24
query12.sql,tpcds,1,14.05
query13.sql,tpcds,1,14.84
query14.sql,tpcds,1,fail
query15.sql,tpcds,1,13.89
query16.sql,tpcds,1,16.00
query17.sql,tpcds,1,30.22
query18.sql,tpcds,1,16.34
query19.sql,tpcds,1,15.21
query2.sql,tpcds,1,14.80
query20.sql,tpcds,1,13.23
query21.sql,tpcds,1,13.76
query22.sql,tpcds,1,14.65
query23.sql,tpcds,1,fail
query24.sql,tpcds,1,fail
query25.sql,tpcds,1,29.82
query26.sql,tpcds,1,14.34
query27.sql,tpcds,1,14.61
query28.sql,tpcds,1,19.61
query29.sql,tpcds,1,29.16
query3.sql,tpcds,1,12.70
query30.sql,tpcds,1,fail
query31.sql,tpcds,1,19.69
query32.sql,tpcds,1,13.68
query33.sql,tpcds,1,16.20
query34.sql,tpcds,1,14.40
query35.sql,tpcds,1,17.44
query36.sql,tpcds,1,14.56
query37.sql,tpcds,1,15.78
query38.sql,tpcds,1,21.36
query39.sql,tpcds,1,fail
query4.sql,tpcds,1,37.84
query40.sql,tpcds,1,19.62
query41.sql,tpcds,1,10.34
query42.sql,tpcds,1,12.07
query43.sql,tpcds,1,12.84
query44.sql,tpcds,1,15.18
query45.sql,tpcds,1,13.70
query46.sql,tpcds,1,14.64
query47.sql,tpcds,1,18.99
query48.sql,tpcds,1,15.42
query49.sql,tpcds,1,20.80
query5.sql,tpcds,1,19.53
query50.sql,tpcds,1,24.86
query51.sql,tpcds,1,23.02
query52.sql,tpcds,1,12.78
query53.sql,tpcds,1,13.84
query54.sql,tpcds,1,17.94
query55.sql,tpcds,1,13.92
query56.sql,tpcds,1,16.68
query57.sql,tpcds,1,15.20
query58.sql,tpcds,1,16.08
query59.sql,tpcds,1,16.03
query6.sql,tpcds,1,22.39
query60.sql,tpcds,1,16.16
query61.sql,tpcds,1,10.18
query62.sql,tpcds,1,14.21
query63.sql,tpcds,1,14.43
query64.sql,tpcds,1,37.01
query65.sql,tpcds,1,18.56
query66.sql,tpcds,1,15.72
query67.sql,tpcds,1,fail
query68.sql,tpcds,1,14.93
query69.sql,tpcds,1,11.99
query7.sql,tpcds,1,15.50
query70.sql,tpcds,1,15.09
query71.sql,tpcds,1,14.54
query72.sql,tpcds,1,35.44
query73.sql,tpcds,1,14.57
query74.sql,tpcds,1,28.14
query75.sql,tpcds,1,25.16
query76.sql,tpcds,1,15.22
query77.sql,tpcds,1,16.95
query78.sql,tpcds,1,37.37
query79.sql,tpcds,1,14.47
query8.sql,tpcds,1,14.37
query80.sql,tpcds,1,36.88
query81.sql,tpcds,1,15.47
query82.sql,tpcds,1,16.39
query83.sql,tpcds,1,14.45
query84.sql,tpcds,1,14.22
query85.sql,tpcds,1,17.63
query86.sql,tpcds,1,14.04
query87.sql,tpcds,1,20.24
query88.sql,tpcds,1,26.81
query89.sql,tpcds,1,14.49
query9.sql,tpcds,1,15.58
query90.sql,tpcds,1,13.48
query91.sql,tpcds,1,13.25
query92.sql,tpcds,1,14.42
query93.sql,tpcds,1,25.98
query94.sql,tpcds,1,19.44
query95.sql,tpcds,1,24.76
query96.sql,tpcds,1,11.67
query97.sql,tpcds,1,19.89
query98.sql,tpcds,1,15.26
query99.sql,tpcds,1,14.42
1.sql,tpch,2,32.22
10.sql,tpch,2,21.37
11.sql,tpch,2,12.35
12.sql,tpch,2,18.58
13.sql,tpch,2,18.03
14.sql,tpch,2,14.29
15.sql,tpch,2,16.61
16.sql,tpch,2,17.95
17.sql,tpch,2,34.84
18.sql,tpch,2,32.19
19.sql,tpch,2,14.75
2.sql,tpch,2,15.11
20.sql,tpch,2,17.30
21.sql,tpch,2,32.35
22.sql,tpch,2,15.84
3.sql,tpch,2,19.82
4.sql,tpch,2,24.56
5.sql,tpch,2,26.80
6.sql,tpch,2,11.37
7.sql,tpch,2,28.13
8.sql,tpch,2,24.30
9.sql,tpch,2,34.33
query1.sql,tpcds,2,14.94
query10.sql,tpcds,2,16.42
query11.sql,tpcds,2,29.10
query12.sql,tpcds,2,14.46
query13.sql,tpcds,2,14.81
query14.sql,tpcds,2,fail
query15.sql,tpcds,2,14.48
query16.sql,tpcds,2,15.59
query17.sql,tpcds,2,29.95
query18.sql,tpcds,2,16.75
query19.sql,tpcds,2,14.45
query2.sql,tpcds,2,14.98
query20.sql,tpcds,2,13.98
query21.sql,tpcds,2,13.49
query22.sql,tpcds,2,14.65
query23.sql,tpcds,2,fail
query24.sql,tpcds,2,fail
query25.sql,tpcds,2,29.67
query26.sql,tpcds,2,14.78
query27.sql,tpcds,2,15.69
query28.sql,tpcds,2,20.06
query29.sql,tpcds,2,30.11
query3.sql,tpcds,2,13.34
query30.sql,tpcds,2,fail
query31.sql,tpcds,2,20.30
query32.sql,tpcds,2,13.78
query33.sql,tpcds,2,16.77
query34.sql,tpcds,2,14.09
query35.sql,tpcds,2,17.14
query36.sql,tpcds,2,14.48
query37.sql,tpcds,2,15.50
query38.sql,tpcds,2,19.47
query39.sql,tpcds,2,fail
query4.sql,tpcds,2,39.44
query40.sql,tpcds,2,20.11
query41.sql,tpcds,2,10.29
query42.sql,tpcds,2,12.56
query43.sql,tpcds,2,13.10
query44.sql,tpcds,2,15.31
query45.sql,tpcds,2,13.98
query46.sql,tpcds,2,14.80
query47.sql,tpcds,2,19.40
query48.sql,tpcds,2,15.07
query49.sql,tpcds,2,20.95
query5.sql,tpcds,2,19.32
query50.sql,tpcds,2,21.88
query51.sql,tpcds,2,23.45
query52.sql,tpcds,2,12.78
