query,dataset,run_number,vanilla_time_sec
1.sql,tpch,1,33.77
10.sql,tpch,1,21.54
11.sql,tpch,1,12.39
12.sql,tpch,1,19.05
13.sql,tpch,1,18.33
14.sql,tpch,1,15.66
15.sql,tpch,1,17.70
16.sql,tpch,1,18.25
17.sql,tpch,1,33.55
18.sql,tpch,1,32.96
19.sql,tpch,1,15.03
2.sql,tpch,1,15.64
20.sql,tpch,1,17.65
21.sql,tpch,1,33.14
22.sql,tpch,1,15.62
3.sql,tpch,1,24.16
4.sql,tpch,1,23.43
5.sql,tpch,1,35.05
6.sql,tpch,1,11.80
7.sql,tpch,1,28.70
8.sql,tpch,1,24.82
9.sql,tpch,1,30.82
query1.sql,tpcds,1,15.49
query10.sql,tpcds,1,16.53
query11.sql,tpcds,1,29.75
query12.sql,tpcds,1,14.24
query13.sql,tpcds,1,14.86
query14.sql,tpcds,1,fail
query15.sql,tpcds,1,14.07
query16.sql,tpcds,1,15.36
query17.sql,tpcds,1,29.55
query18.sql,tpcds,1,15.63
query19.sql,tpcds,1,14.30
query2.sql,tpcds,1,14.75
query20.sql,tpcds,1,13.75
query21.sql,tpcds,1,13.06
query22.sql,tpcds,1,14.74
query23.sql,tpcds,1,fail
query24.sql,tpcds,1,fail
query25.sql,tpcds,1,30.21
query26.sql,tpcds,1,14.49
query27.sql,tpcds,1,14.79
query28.sql,tpcds,1,19.82
query29.sql,tpcds,1,29.58
query3.sql,tpcds,1,12.97
query30.sql,tpcds,1,fail
query31.sql,tpcds,1,19.92
query32.sql,tpcds,1,14.25
query33.sql,tpcds,1,15.60
query34.sql,tpcds,1,13.99
query35.sql,tpcds,1,17.16
query36.sql,tpcds,1,14.54
query37.sql,tpcds,1,15.65
query38.sql,tpcds,1,20.57
query39.sql,tpcds,1,fail
query4.sql,tpcds,1,37.15
query40.sql,tpcds,1,21.58
query41.sql,tpcds,1,10.21
query42.sql,tpcds,1,13.37
query43.sql,tpcds,1,13.28
query44.sql,tpcds,1,15.50
query45.sql,tpcds,1,13.94
query46.sql,tpcds,1,15.18
query47.sql,tpcds,1,18.62
query48.sql,tpcds,1,15.03
query49.sql,tpcds,1,20.43
query5.sql,tpcds,1,19.87
query50.sql,tpcds,1,21.68
query51.sql,tpcds,1,23.82
query52.sql,tpcds,1,13.62
query53.sql,tpcds,1,14.71
query54.sql,tpcds,1,18.35
query55.sql,tpcds,1,13.06
query56.sql,tpcds,1,16.03
query57.sql,tpcds,1,14.56
query58.sql,tpcds,1,17.45
query59.sql,tpcds,1,15.81
query6.sql,tpcds,1,21.54
query60.sql,tpcds,1,16.96
query61.sql,tpcds,1,10.69
query62.sql,tpcds,1,14.07
query63.sql,tpcds,1,13.91
query64.sql,tpcds,1,37.29
query65.sql,tpcds,1,18.63
query66.sql,tpcds,1,16.37
query67.sql,tpcds,1,fail
query68.sql,tpcds,1,16.55
query69.sql,tpcds,1,11.62
query7.sql,tpcds,1,15.74
query70.sql,tpcds,1,15.55
query71.sql,tpcds,1,15.55
query72.sql,tpcds,1,36.61
query73.sql,tpcds,1,13.61
query74.sql,tpcds,1,28.47
query75.sql,tpcds,1,24.08
query76.sql,tpcds,1,15.11
query77.sql,tpcds,1,17.28
query78.sql,tpcds,1,36.83
query79.sql,tpcds,1,14.63
query8.sql,tpcds,1,14.80
query80.sql,tpcds,1,35.68
query81.sql,tpcds,1,15.43
query82.sql,tpcds,1,16.63
query83.sql,tpcds,1,14.30
query84.sql,tpcds,1,13.96
query85.sql,tpcds,1,18.57
query86.sql,tpcds,1,13.46
query87.sql,tpcds,1,20.10
query88.sql,tpcds,1,17.34
query89.sql,tpcds,1,14.70
query9.sql,tpcds,1,15.06
query90.sql,tpcds,1,12.68
query91.sql,tpcds,1,13.05
query92.sql,tpcds,1,14.31
query93.sql,tpcds,1,25.73
query94.sql,tpcds,1,20.44
query95.sql,tpcds,1,25.53
query96.sql,tpcds,1,11.57
query97.sql,tpcds,1,19.73
query98.sql,tpcds,1,14.82
query99.sql,tpcds,1,14.01
1.sql,tpch,2,32.16
10.sql,tpch,2,21.67
11.sql,tpch,2,13.14
12.sql,tpch,2,19.01
13.sql,tpch,2,18.38
14.sql,tpch,2,14.64
15.sql,tpch,2,17.22
16.sql,tpch,2,17.53
17.sql,tpch,2,33.37
18.sql,tpch,2,33.60
19.sql,tpch,2,14.94
2.sql,tpch,2,15.70
20.sql,tpch,2,16.97
21.sql,tpch,2,33.30
22.sql,tpch,2,15.01
3.sql,tpch,2,20.17
4.sql,tpch,2,25.01
5.sql,tpch,2,33.57
6.sql,tpch,2,12.15
7.sql,tpch,2,26.27
8.sql,tpch,2,23.70
9.sql,tpch,2,31.97
query1.sql,tpcds,2,15.48
query10.sql,tpcds,2,16.02
query11.sql,tpcds,2,29.91
query12.sql,tpcds,2,13.83
query13.sql,tpcds,2,14.26
query14.sql,tpcds,2,fail
query15.sql,tpcds,2,14.52
query16.sql,tpcds,2,15.60
query17.sql,tpcds,2,29.35
query18.sql,tpcds,2,16.38
query19.sql,tpcds,2,15.13
query2.sql,tpcds,2,15.27
query20.sql,tpcds,2,13.54
query21.sql,tpcds,2,13.40
query22.sql,tpcds,2,13.91
query23.sql,tpcds,2,fail
query24.sql,tpcds,2,fail
query25.sql,tpcds,2,28.75
query26.sql,tpcds,2,14.71
query27.sql,tpcds,2,15.95
query28.sql,tpcds,2,19.99
query29.sql,tpcds,2,29.69
query3.sql,tpcds,2,13.45
query30.sql,tpcds,2,fail
query31.sql,tpcds,2,19.70
query32.sql,tpcds,2,14.20
query33.sql,tpcds,2,16.93
query34.sql,tpcds,2,14.51
query35.sql,tpcds,2,17.20
query36.sql,tpcds,2,14.69
query37.sql,tpcds,2,15.53
query38.sql,tpcds,2,20.47
query39.sql,tpcds,2,fail
query4.sql,tpcds,2,38.42
query40.sql,tpcds,2,20.46
query41.sql,tpcds,2,10.25
query42.sql,tpcds,2,13.47
query43.sql,tpcds,2,13.64
query44.sql,tpcds,2,15.25
query45.sql,tpcds,2,13.79
query46.sql,tpcds,2,16.01
query47.sql,tpcds,2,18.83
query48.sql,tpcds,2,15.20
query49.sql,tpcds,2,21.18
query5.sql,tpcds,2,19.52
query50.sql,tpcds,2,23.38
query51.sql,tpcds,2,23.57
query52.sql,tpcds,2,12.85
query53.sql,tpcds,2,14.02
query54.sql,tpcds,2,18.99
query55.sql,tpcds,2,13.99
query56.sql,tpcds,2,15.54
query57.sql,tpcds,2,14.79
query58.sql,tpcds,2,16.72
query59.sql,tpcds,2,16.94
query6.sql,tpcds,2,21.73
query60.sql,tpcds,2,16.80
query61.sql,tpcds,2,10.82
query62.sql,tpcds,2,14.40
query63.sql,tpcds,2,13.73
query64.sql,tpcds,2,37.01
query65.sql,tpcds,2,18.54
query66.sql,tpcds,2,16.80
query67.sql,tpcds,2,fail
query68.sql,tpcds,2,16.58
query69.sql,tpcds,2,11.92
query7.sql,tpcds,2,15.67
query70.sql,tpcds,2,15.56
