query,dataset,runtime
38.sql,tpch,10205
18.sql,tpch,30859
30.sql,tpch,9917
23.sql,tpch,7271
37.sql,tpch,2586
32.sql,tpch,5702
12.sql,tpch,15353
6.sql,tpch,2436
21.sql,tpch,22360
25.sql,tpch,24539
17.sql,tpch,25725
11.sql,tpch,3554
27.sql,tpch,8998
9.sql,tpch,54684
2.sql,tpch,7405
29.sql,tpch,10097
33.sql,tpch,8101
34.sql,tpch,23120
15.sql,tpch,6344
1.sql,tpch,27117
14.sql,tpch,3871
20.sql,tpch,9521
13.sql,tpch,10063
5.sql,tpch,15499
22.sql,tpch,4843
10.sql,tpch,11401
31.sql,tpch,4475
28.sql,tpch,9708
36.sql,tpch,2779
3.sql,tpch,8219
7.sql,tpch,13178
35.sql,tpch,2102
16.sql,tpch,6557
24.sql,tpch,13986
4.sql,tpch,6319
8.sql,tpch,16671
19.sql,tpch,8272
26.sql,tpch,7876
38.sql,tpch,2859
18.sql,tpch,26035
30.sql,tpch,9145
23.sql,tpch,6866
37.sql,tpch,2233
32.sql,tpch,5510
12.sql,tpch,5317
6.sql,tpch,1595
21.sql,tpch,20781
25.sql,tpch,24717
17.sql,tpch,26497
11.sql,tpch,1903
27.sql,tpch,9203
9.sql,tpch,37482
2.sql,tpch,10275
29.sql,tpch,11099
33.sql,tpch,11290
34.sql,tpch,16945
15.sql,tpch,5557
1.sql,tpch,27217
14.sql,tpch,2918
20.sql,tpch,16488
13.sql,tpch,9787
5.sql,tpch,19924
22.sql,tpch,5899
10.sql,tpch,16146
31.sql,tpch,5644
28.sql,tpch,9106
36.sql,tpch,2035
3.sql,tpch,12287
7.sql,tpch,16579
35.sql,tpch,2281
16.sql,tpch,8529
24.sql,tpch,14304
4.sql,tpch,6311
8.sql,tpch,16502
19.sql,tpch,5333
26.sql,tpch,8669
38.sql,tpch,2923
18.sql,tpch,26485
30.sql,tpch,10174
23.sql,tpch,6836
37.sql,tpch,2231
32.sql,tpch,5740
12.sql,tpch,4850
6.sql,tpch,1962
21.sql,tpch,21363
25.sql,tpch,23119
17.sql,tpch,29663
11.sql,tpch,2319
27.sql,tpch,7629
9.sql,tpch,93600
2.sql,tpch,7616
29.sql,tpch,7925
33.sql,tpch,7743
34.sql,tpch,9731
15.sql,tpch,5539
1.sql,tpch,27786
14.sql,tpch,2826
20.sql,tpch,8168
13.sql,tpch,10082
5.sql,tpch,18403
22.sql,tpch,4075
10.sql,tpch,9572
31.sql,tpch,3545
28.sql,tpch,7492
36.sql,tpch,2223
3.sql,tpch,8088
7.sql,tpch,12718
35.sql,tpch,1751
16.sql,tpch,6827
24.sql,tpch,15124
4.sql,tpch,5872
8.sql,tpch,68341
19.sql,tpch,4165
26.sql,tpch,9087
38.sql,tpch,2617
18.sql,tpch,25528
30.sql,tpch,11586
23.sql,tpch,6986
37.sql,tpch,2187
32.sql,tpch,5638
12.sql,tpch,4778
6.sql,tpch,1729
21.sql,tpch,28140
25.sql,tpch,23005
17.sql,tpch,36823
11.sql,tpch,2013
27.sql,tpch,7856
9.sql,tpch,135073
2.sql,tpch,6836
29.sql,tpch,8503
33.sql,tpch,12521
34.sql,tpch,25745
15.sql,tpch,6131
1.sql,tpch,28800
14.sql,tpch,3042
20.sql,tpch,11756
13.sql,tpch,9740
5.sql,tpch,13652
22.sql,tpch,3543
10.sql,tpch,9250
31.sql,tpch,4082
28.sql,tpch,8273
36.sql,tpch,2100
3.sql,tpch,7855
7.sql,tpch,17661
35.sql,tpch,1929
16.sql,tpch,6291
24.sql,tpch,14125
4.sql,tpch,6175
8.sql,tpch,16016
19.sql,tpch,4431
26.sql,tpch,8329
38.sql,tpch,2598
18.sql,tpch,26472
30.sql,tpch,10939
23.sql,tpch,6652
37.sql,tpch,2259
32.sql,tpch,5743
12.sql,tpch,4757
6.sql,tpch,1559
21.sql,tpch,20514
25.sql,tpch,24192
17.sql,tpch,24958
11.sql,tpch,2126
27.sql,tpch,7470
9.sql,tpch,54337
2.sql,tpch,6888
29.sql,tpch,8039
33.sql,tpch,8327
34.sql,tpch,26599
15.sql,tpch,5635
1.sql,tpch,26942
14.sql,tpch,2741
20.sql,tpch,8631
13.sql,tpch,9873
5.sql,tpch,14196
22.sql,tpch,4350
10.sql,tpch,9320
31.sql,tpch,3825
28.sql,tpch,8082
36.sql,tpch,2331
3.sql,tpch,12487
7.sql,tpch,26433
35.sql,tpch,2068
16.sql,tpch,7537
24.sql,tpch,14898
4.sql,tpch,6496
8.sql,tpch,44898
19.sql,tpch,4606
26.sql,tpch,8736
38.sql,tpch,2776
18.sql,tpch,25591
30.sql,tpch,9912
23.sql,tpch,6891
37.sql,tpch,2196
32.sql,tpch,5688
12.sql,tpch,5485
6.sql,tpch,1562
21.sql,tpch,23395
25.sql,tpch,24497
17.sql,tpch,24569
11.sql,tpch,2052
27.sql,tpch,7760
9.sql,tpch,57414
2.sql,tpch,6421
29.sql,tpch,9352
33.sql,tpch,8071
34.sql,tpch,25986
15.sql,tpch,5409
1.sql,tpch,27259
14.sql,tpch,3193
20.sql,tpch,8910
13.sql,tpch,8168
5.sql,tpch,19676
22.sql,tpch,3764
10.sql,tpch,9360
31.sql,tpch,4281
28.sql,tpch,9044
36.sql,tpch,2381
3.sql,tpch,7531
7.sql,tpch,12729
35.sql,tpch,1779
16.sql,tpch,6558
24.sql,tpch,13742
4.sql,tpch,5790
8.sql,tpch,30559
19.sql,tpch,4072
26.sql,tpch,8615
38.sql,tpch,3017
18.sql,tpch,24670
30.sql,tpch,8935
23.sql,tpch,6738
37.sql,tpch,2541
32.sql,tpch,5735
12.sql,tpch,4857
6.sql,tpch,1769
21.sql,tpch,23173
25.sql,tpch,24345
17.sql,tpch,24666
11.sql,tpch,2069
27.sql,tpch,8443
9.sql,tpch,51714
2.sql,tpch,6620
29.sql,tpch,8625
33.sql,tpch,8596
34.sql,tpch,24969
15.sql,tpch,5582
1.sql,tpch,26911
14.sql,tpch,2859
20.sql,tpch,8843
13.sql,tpch,7845
5.sql,tpch,21753
22.sql,tpch,3732
10.sql,tpch,9129
31.sql,tpch,4189
