query,dataset,runtime
38.sql,tpch,11288
18.sql,tpch,29182
30.sql,tpch,9857
23.sql,tpch,8810
37.sql,tpch,2150
32.sql,tpch,5824
12.sql,tpch,5920
6.sql,tpch,1788
21.sql,tpch,22351
25.sql,tpch,26026
17.sql,tpch,32871
11.sql,tpch,2865
27.sql,tpch,8331
9.sql,tpch,77840
2.sql,tpch,6813
29.sql,tpch,7874
33.sql,tpch,7889
34.sql,tpch,9469
15.sql,tpch,5607
1.sql,tpch,27213
14.sql,tpch,3033
20.sql,tpch,8747
13.sql,tpch,6815
5.sql,tpch,16372
22.sql,tpch,4077
10.sql,tpch,9110
31.sql,tpch,3074
28.sql,tpch,7716
36.sql,tpch,2448
3.sql,tpch,7677
7.sql,tpch,13384
35.sql,tpch,2289
16.sql,tpch,6843
24.sql,tpch,14774
4.sql,tpch,6051
8.sql,tpch,34408
19.sql,tpch,4195
26.sql,tpch,8620
38.sql,tpch,2323
18.sql,tpch,26216
30.sql,tpch,9876
23.sql,tpch,6737
37.sql,tpch,2734
32.sql,tpch,5375
12.sql,tpch,5043
6.sql,tpch,1517
21.sql,tpch,24201
25.sql,tpch,22709
17.sql,tpch,35046
11.sql,tpch,2629
27.sql,tpch,8447
9.sql,tpch,89391
2.sql,tpch,6416
29.sql,tpch,9570
33.sql,tpch,13746
34.sql,tpch,26210
15.sql,tpch,12919
1.sql,tpch,28304
14.sql,tpch,10806
20.sql,tpch,14556
13.sql,tpch,14606
5.sql,tpch,25801
22.sql,tpch,3838
10.sql,tpch,11701
31.sql,tpch,3761
28.sql,tpch,8743
36.sql,tpch,7165
3.sql,tpch,11523
7.sql,tpch,21278
35.sql,tpch,2232
16.sql,tpch,7035
24.sql,tpch,14999
4.sql,tpch,20231
8.sql,tpch,37214
19.sql,tpch,5514
26.sql,tpch,8511
38.sql,tpch,2329
18.sql,tpch,24658
30.sql,tpch,8669
23.sql,tpch,6607
37.sql,tpch,2228
32.sql,tpch,5767
12.sql,tpch,4917
6.sql,tpch,1498
21.sql,tpch,24205
25.sql,tpch,22877
17.sql,tpch,36507
11.sql,tpch,3462
27.sql,tpch,7906
9.sql,tpch,93771
2.sql,tpch,6916
29.sql,tpch,8076
33.sql,tpch,15989
34.sql,tpch,23362
15.sql,tpch,5591
1.sql,tpch,28522
14.sql,tpch,3109
20.sql,tpch,8172
13.sql,tpch,9732
5.sql,tpch,30791
22.sql,tpch,3686
10.sql,tpch,11187
31.sql,tpch,3688
28.sql,tpch,10642
36.sql,tpch,3118
3.sql,tpch,8453
7.sql,tpch,19248
35.sql,tpch,2272
16.sql,tpch,6737
24.sql,tpch,14572
4.sql,tpch,5856
8.sql,tpch,47261
19.sql,tpch,4468
26.sql,tpch,8290
38.sql,tpch,2291
18.sql,tpch,26064
30.sql,tpch,10716
23.sql,tpch,6562
37.sql,tpch,2156
32.sql,tpch,5329
12.sql,tpch,4826
6.sql,tpch,1487
21.sql,tpch,27659
25.sql,tpch,24116
17.sql,tpch,37744
11.sql,tpch,2338
27.sql,tpch,7815
9.sql,tpch,78513
2.sql,tpch,7184
29.sql,tpch,8791
33.sql,tpch,7598
34.sql,tpch,10645
15.sql,tpch,5694
1.sql,tpch,27429
14.sql,tpch,2806
20.sql,tpch,8867
13.sql,tpch,9696
5.sql,tpch,14077
22.sql,tpch,3229
10.sql,tpch,10718
31.sql,tpch,3866
28.sql,tpch,8422
36.sql,tpch,2351
3.sql,tpch,7937
7.sql,tpch,18076
35.sql,tpch,2762
16.sql,tpch,7285
24.sql,tpch,14382
4.sql,tpch,6163
8.sql,tpch,30033
19.sql,tpch,5090
26.sql,tpch,8295
38.sql,tpch,2243
18.sql,tpch,24817
30.sql,tpch,8852
23.sql,tpch,6595
37.sql,tpch,2277
32.sql,tpch,5578
12.sql,tpch,5153
6.sql,tpch,1546
21.sql,tpch,39646
25.sql,tpch,24334
17.sql,tpch,35639
11.sql,tpch,2369
27.sql,tpch,28633
9.sql,tpch,97396
2.sql,tpch,6666
29.sql,tpch,16927
33.sql,tpch,8535
34.sql,tpch,13278
15.sql,tpch,5682
1.sql,tpch,28926
14.sql,tpch,2869
20.sql,tpch,8136
13.sql,tpch,15312
5.sql,tpch,12344
22.sql,tpch,4545
10.sql,tpch,11576
31.sql,tpch,3501
28.sql,tpch,8113
36.sql,tpch,2417
3.sql,tpch,8129
7.sql,tpch,18060
35.sql,tpch,2395
16.sql,tpch,7224
24.sql,tpch,15654
4.sql,tpch,18807
8.sql,tpch,16767
19.sql,tpch,5110
26.sql,tpch,8999
38.sql,tpch,3187
18.sql,tpch,25817
30.sql,tpch,9345
23.sql,tpch,6908
37.sql,tpch,2307
32.sql,tpch,5954
12.sql,tpch,6160
6.sql,tpch,2349
21.sql,tpch,21437
25.sql,tpch,26064
17.sql,tpch,25164
11.sql,tpch,3067
27.sql,tpch,8619
9.sql,tpch,120103
2.sql,tpch,7489
29.sql,tpch,8120
33.sql,tpch,7576
34.sql,tpch,14172
15.sql,tpch,5687
1.sql,tpch,29572
14.sql,tpch,2825
20.sql,tpch,8324
13.sql,tpch,15330
5.sql,tpch,30250
22.sql,tpch,4003
10.sql,tpch,11421
31.sql,tpch,3739
28.sql,tpch,7552
36.sql,tpch,2479
3.sql,tpch,7623
7.sql,tpch,13745
35.sql,tpch,2480
16.sql,tpch,6583
24.sql,tpch,15428
4.sql,tpch,11648
8.sql,tpch,69209
19.sql,tpch,6728
26.sql,tpch,8902
38.sql,tpch,2501
