query,dataset,runtime
38.sql,tpch,8806
18.sql,tpch,30812
30.sql,tpch,9857
23.sql,tpch,7247
37.sql,tpch,3003
32.sql,tpch,6596
12.sql,tpch,5832
6.sql,tpch,2012
21.sql,tpch,24145
25.sql,tpch,24309
17.sql,tpch,25001
11.sql,tpch,2777
27.sql,tpch,7884
9.sql,tpch,42658
2.sql,tpch,6670
29.sql,tpch,8747
33.sql,tpch,9784
34.sql,tpch,30907
15.sql,tpch,5571
1.sql,tpch,26433
14.sql,tpch,2853
20.sql,tpch,8444
13.sql,tpch,6868
5.sql,tpch,15009
22.sql,tpch,3606
10.sql,tpch,9553
31.sql,tpch,3600
28.sql,tpch,11297
36.sql,tpch,3070
3.sql,tpch,8233
7.sql,tpch,14445
35.sql,tpch,2313
16.sql,tpch,6981
24.sql,tpch,14054
4.sql,tpch,5837
8.sql,tpch,17876
19.sql,tpch,4615
26.sql,tpch,7877
38.sql,tpch,2861
18.sql,tpch,25651
30.sql,tpch,8521
23.sql,tpch,6516
37.sql,tpch,2412
32.sql,tpch,5446
12.sql,tpch,5166
6.sql,tpch,1469
21.sql,tpch,34135
25.sql,tpch,24062
17.sql,tpch,25901
11.sql,tpch,2473
27.sql,tpch,7575
9.sql,tpch,59490
2.sql,tpch,6113
29.sql,tpch,8363
33.sql,tpch,13502
34.sql,tpch,32972
15.sql,tpch,5200
1.sql,tpch,26674
14.sql,tpch,2944
20.sql,tpch,8142
13.sql,tpch,6680
5.sql,tpch,13782
22.sql,tpch,3488
10.sql,tpch,11176
31.sql,tpch,3446
28.sql,tpch,10795
36.sql,tpch,2221
3.sql,tpch,11774
7.sql,tpch,26735
35.sql,tpch,2371
16.sql,tpch,8919
24.sql,tpch,14512
4.sql,tpch,6208
8.sql,tpch,26151
19.sql,tpch,4107
26.sql,tpch,7990
38.sql,tpch,2721
18.sql,tpch,24884
30.sql,tpch,9089
23.sql,tpch,6472
37.sql,tpch,2211
32.sql,tpch,5835
12.sql,tpch,4828
6.sql,tpch,1608
21.sql,tpch,20741
25.sql,tpch,23555
17.sql,tpch,32394
11.sql,tpch,2050
27.sql,tpch,9270
9.sql,tpch,133149
2.sql,tpch,6166
29.sql,tpch,7783
33.sql,tpch,8445
34.sql,tpch,10527
15.sql,tpch,5720
1.sql,tpch,26636
14.sql,tpch,2904
20.sql,tpch,8241
13.sql,tpch,6697
5.sql,tpch,18305
22.sql,tpch,3403
10.sql,tpch,9133
31.sql,tpch,3271
28.sql,tpch,7717
36.sql,tpch,2433
3.sql,tpch,14968
7.sql,tpch,14181
35.sql,tpch,2151
16.sql,tpch,6740
24.sql,tpch,13673
4.sql,tpch,6014
8.sql,tpch,58558
19.sql,tpch,3688
26.sql,tpch,7832
38.sql,tpch,2569
18.sql,tpch,27105
30.sql,tpch,10980
23.sql,tpch,6440
37.sql,tpch,2030
32.sql,tpch,5424
12.sql,tpch,4768
6.sql,tpch,1474
21.sql,tpch,27265
25.sql,tpch,23844
17.sql,tpch,38803
11.sql,tpch,2247
27.sql,tpch,8112
9.sql,tpch,146201
2.sql,tpch,6348
29.sql,tpch,12068
33.sql,tpch,19838
34.sql,tpch,14377
15.sql,tpch,5585
1.sql,tpch,26555
14.sql,tpch,2798
20.sql,tpch,8726
13.sql,tpch,7075
5.sql,tpch,14272
22.sql,tpch,3309
10.sql,tpch,9559
31.sql,tpch,3232
28.sql,tpch,7985
36.sql,tpch,2201
3.sql,tpch,8409
7.sql,tpch,15746
35.sql,tpch,2346
16.sql,tpch,6523
24.sql,tpch,14199
4.sql,tpch,6417
8.sql,tpch,32222
19.sql,tpch,3956
26.sql,tpch,8408
38.sql,tpch,2763
18.sql,tpch,26861
30.sql,tpch,9165
23.sql,tpch,6645
37.sql,tpch,3209
32.sql,tpch,6024
12.sql,tpch,4827
6.sql,tpch,1513
21.sql,tpch,20801
25.sql,tpch,24071
17.sql,tpch,24252
11.sql,tpch,2251
27.sql,tpch,7785
9.sql,tpch,74750
2.sql,tpch,6204
29.sql,tpch,8733
33.sql,tpch,12763
34.sql,tpch,27435
15.sql,tpch,5820
1.sql,tpch,27156
14.sql,tpch,2828
20.sql,tpch,8300
13.sql,tpch,7090
5.sql,tpch,23778
22.sql,tpch,3607
10.sql,tpch,9243
31.sql,tpch,3413
28.sql,tpch,8411
36.sql,tpch,2361
3.sql,tpch,12017
7.sql,tpch,27356
35.sql,tpch,2187
16.sql,tpch,7295
24.sql,tpch,14210
4.sql,tpch,5601
8.sql,tpch,49339
19.sql,tpch,7852
26.sql,tpch,8778
38.sql,tpch,2552
18.sql,tpch,25351
30.sql,tpch,9304
23.sql,tpch,6492
37.sql,tpch,2090
32.sql,tpch,5186
12.sql,tpch,4692
6.sql,tpch,1545
21.sql,tpch,25864
25.sql,tpch,23756
17.sql,tpch,30508
11.sql,tpch,2406
27.sql,tpch,7705
9.sql,tpch,83017
2.sql,tpch,6455
29.sql,tpch,7976
33.sql,tpch,18657
34.sql,tpch,9917
15.sql,tpch,5475
1.sql,tpch,26924
14.sql,tpch,2761
20.sql,tpch,8117
13.sql,tpch,6989
5.sql,tpch,20376
22.sql,tpch,3552
10.sql,tpch,9545
31.sql,tpch,3248
28.sql,tpch,8402
36.sql,tpch,2253
3.sql,tpch,13712
7.sql,tpch,26760
35.sql,tpch,2172
16.sql,tpch,6719
24.sql,tpch,14046
4.sql,tpch,6010
8.sql,tpch,95912
19.sql,tpch,4244
26.sql,tpch,8049
38.sql,tpch,2837
18.sql,tpch,27384
30.sql,tpch,11070
23.sql,tpch,6456
37.sql,tpch,2171
32.sql,tpch,5634
12.sql,tpch,5052
6.sql,tpch,1479
21.sql,tpch,46549
25.sql,tpch,24002
17.sql,tpch,32315
11.sql,tpch,2273
27.sql,tpch,7892
9.sql,tpch,87527
2.sql,tpch,6678
29.sql,tpch,7571
33.sql,tpch,20656
34.sql,tpch,29169
15.sql,tpch,5361
1.sql,tpch,26593
14.sql,tpch,2694
20.sql,tpch,8176
13.sql,tpch,6985
5.sql,tpch,29253
22.sql,tpch,3634
10.sql,tpch,9298
31.sql,tpch,3439
28.sql,tpch,10368
36.sql,tpch,4315
3.sql,tpch,10859
7.sql,tpch,24273
35.sql,tpch,1957
16.sql,tpch,6726
24.sql,tpch,14085
4.sql,tpch,5762
8.sql,tpch,51047
19.sql,tpch,3627
26.sql,tpch,8328
38.sql,tpch,2649
18.sql,tpch,25891
30.sql,tpch,8944
23.sql,tpch,6479
37.sql,tpch,2806
32.sql,tpch,5576
12.sql,tpch,4877
6.sql,tpch,1451
21.sql,tpch,21234
25.sql,tpch,24633
17.sql,tpch,37795
11.sql,tpch,2187
27.sql,tpch,8389
9.sql,tpch,91830
2.sql,tpch,7583
29.sql,tpch,7682
33.sql,tpch,8377
34.sql,tpch,10671
15.sql,tpch,5485
1.sql,tpch,26445
14.sql,tpch,2604
20.sql,tpch,7926
13.sql,tpch,6768
5.sql,tpch,22401
22.sql,tpch,3516
10.sql,tpch,8934
31.sql,tpch,3407
28.sql,tpch,7578
36.sql,tpch,2430
3.sql,tpch,7673
7.sql,tpch,12921
35.sql,tpch,2201
16.sql,tpch,6980
24.sql,tpch,14026
4.sql,tpch,5841
8.sql,tpch,53516
19.sql,tpch,4541
26.sql,tpch,8186
38.sql,tpch,2466
18.sql,tpch,27388
30.sql,tpch,9940
23.sql,tpch,6468
37.sql,tpch,2202
32.sql,tpch,5317
12.sql,tpch,4663
6.sql,tpch,1421
21.sql,tpch,28354
25.sql,tpch,23485
17.sql,tpch,32933
11.sql,tpch,2551
27.sql,tpch,7655
9.sql,tpch,94845
2.sql,tpch,7155
29.sql,tpch,8254
33.sql,tpch,15036
34.sql,tpch,26620
15.sql,tpch,5246
1.sql,tpch,26850
14.sql,tpch,2716
20.sql,tpch,7973
13.sql,tpch,7547
5.sql,tpch,28636
22.sql,tpch,3642
10.sql,tpch,9685
31.sql,tpch,3215
28.sql,tpch,9514
36.sql,tpch,2650
3.sql,tpch,15543
7.sql,tpch,24711
35.sql,tpch,2094
16.sql,tpch,6686
24.sql,tpch,16274
4.sql,tpch,6009
8.sql,tpch,89764
19.sql,tpch,3967
26.sql,tpch,7913
query64.sql,tpcds,58321
query85.sql,tpcds,7277
query17.sql,tpcds,14288
query131.sql,tpcds,2075
query112.sql,tpcds,1930
query58.sql,tpcds,4241
query36.sql,tpcds,2934
query121.sql,tpcds,2134
query115.sql,tpcds,2782
query20.sql,tpcds,2192
query22.sql,tpcds,3406
query49.sql,tpcds,9115
query83.sql,tpcds,4348
query71.sql,tpcds,3368
query108.sql,tpcds,1523
query11.sql,tpcds,25410
query125.sql,tpcds,1787
query5.sql,tpcds,6496
query116.sql,tpcds,1811
query6.sql,tpcds,6483
query92.sql,tpcds,1686
query104.sql,tpcds,854
query88.sql,tpcds,6913
query65.sql,tpcds,4991
query52.sql,tpcds,1073
query130.sql,tpcds,1819
query31.sql,tpcds,9420
query114.sql,tpcds,2347
query54.sql,tpcds,5963
query76.sql,tpcds,2947
query72.sql,tpcds,25938
query18.sql,tpcds,3510
query35.sql,tpcds,6369
query100.sql,tpcds,967
query95.sql,tpcds,11744
query90.sql,tpcds,2020
query7.sql,tpcds,3522
query37.sql,tpcds,1775
query21.sql,tpcds,2355
query93.sql,tpcds,9747
query129.sql,tpcds,1991
query109.sql,tpcds,1594
query126.sql,tpcds,1587
query29.sql,tpcds,13178
query50.sql,tpcds,6116
query87.sql,tpcds,9813
query10.sql,tpcds,4562
query118.sql,tpcds,2593
query82.sql,tpcds,2937
query117.sql,tpcds,1854
query120.sql,tpcds,1943
query98.sql,tpcds,1871
query122.sql,tpcds,1985
query33.sql,tpcds,3089
query94.sql,tpcds,4871
query9.sql,tpcds,6620
query101.sql,tpcds,1269
query42.sql,tpcds,832
query70.sql,tpcds,3049
query73.sql,tpcds,2828
query16.sql,tpcds,6813
query26.sql,tpcds,2423
query32.sql,tpcds,1464
query123.sql,tpcds,2032
query43.sql,tpcds,1464
query99.sql,tpcds,2386
query34.sql,tpcds,2739
query86.sql,tpcds,1737
query25.sql,tpcds,13690
query66.sql,tpcds,5344
query128.sql,tpcds,1853
query102.sql,tpcds,971
query59.sql,tpcds,3988
query107.sql,tpcds,1237
query12.sql,tpcds,1987
query69.sql,tpcds,3799
query124.sql,tpcds,1544
query113.sql,tpcds,1916
query27.sql,tpcds,3100
query38.sql,tpcds,10024
query77.sql,tpcds,26634
query103.sql,tpcds,1522
query19.sql,tpcds,2743
query81.sql,tpcds,3342
query13.sql,tpcds,3190
query48.sql,tpcds,3447
query4.sql,tpcds,42157
query63.sql,tpcds,1920
query91.sql,tpcds,1527
query28.sql,tpcds,8121
query68.sql,tpcds,3341
query55.sql,tpcds,1254
query41.sql,tpcds,532
query61.sql,tpcds,1677
query47.sql,tpcds,15393
query56.sql,tpcds,4878
query51.sql,tpcds,11881
query96.sql,tpcds,1381
query3.sql,tpcds,950
query84.sql,tpcds,2371
query45.sql,tpcds,2036
query60.sql,tpcds,4319
query89.sql,tpcds,1983
query8.sql,tpcds,2901
query2.sql,tpcds,3375
query97.sql,tpcds,5304
query75.sql,tpcds,20327
query80.sql,tpcds,20460
query111.sql,tpcds,2417
query15.sql,tpcds,2542
query106.sql,tpcds,1196
query79.sql,tpcds,2501
query40.sql,tpcds,5728
query57.sql,tpcds,8945
query110.sql,tpcds,1636
query78.sql,tpcds,22893
query62.sql,tpcds,1852
query127.sql,tpcds,1837
query105.sql,tpcds,1777
query44.sql,tpcds,3116
query1.sql,tpcds,3798
query74.sql,tpcds,23929
query53.sql,tpcds,1978
query46.sql,tpcds,3354
query119.sql,tpcds,2359
query64.sql,tpcds,63135
query85.sql,tpcds,4705
query17.sql,tpcds,12486
query131.sql,tpcds,1694
query112.sql,tpcds,1838
query58.sql,tpcds,4328
query36.sql,tpcds,1963
query121.sql,tpcds,2132
query115.sql,tpcds,1756
query20.sql,tpcds,1327
query22.sql,tpcds,3133
query49.sql,tpcds,8296
query83.sql,tpcds,3053
query71.sql,tpcds,2433
query108.sql,tpcds,1186
query11.sql,tpcds,24902
query125.sql,tpcds,1904
query5.sql,tpcds,6621
query116.sql,tpcds,2229
query6.sql,tpcds,6837
query92.sql,tpcds,1496
query104.sql,tpcds,844
query88.sql,tpcds,6598
query65.sql,tpcds,5090
query52.sql,tpcds,1205
query130.sql,tpcds,1290
query31.sql,tpcds,6236
query114.sql,tpcds,2369
query54.sql,tpcds,6063
