query,dataset,runtime
6.sql,tpch,1100628
2.sql,tpch,968515
1.sql,tpch,1218432
5.sql,tpch,9016012
3.sql,tpch,3640761
7.sql,tpch,4317084
4.sql,tpch,1978656
12.sql,tpch,1506823
11.sql,tpch,443431
9.sql,tpch,18830401
14.sql,tpch,1683126
13.sql,tpch,1280069
10.sql,tpch,3100972
8.sql,tpch,15223294
23.sql,tpch,367954
25.sql,tpch,433967
27.sql,tpch,3854835
29.sql,tpch,3891352
28.sql,tpch,3918117
24.sql,tpch,376337
26.sql,tpch,375178
30.sql,tpch,3181951
37.sql,tpch,1419442
32.sql,tpch,429657
33.sql,tpch,421064
34.sql,tpch,431892
31.sql,tpch,420130
36.sql,tpch,1415864
35.sql,tpch,1390382
6.sql,tpch,1101778
9.sql,tpch,17483928
2.sql,tpch,796715
33.sql,tpch,429361
3.sql,tpch,3713116
24.sql,tpch,369326
32.sql,tpch,446251
25.sql,tpch,449837
11.sql,tpch,380402
5.sql,tpch,10199077
28.sql,tpch,2803959
8.sql,tpch,12620433
37.sql,tpch,1437567
12.sql,tpch,1338583
29.sql,tpch,3162562
1.sql,tpch,1251411
10.sql,tpch,3189733
36.sql,tpch,1418574
30.sql,tpch,3079740
27.sql,tpch,3453992
13.sql,tpch,1262410
31.sql,tpch,434976
35.sql,tpch,1418993
4.sql,tpch,1957630
23.sql,tpch,399592
34.sql,tpch,503341
14.sql,tpch,1603728
7.sql,tpch,4500986
26.sql,tpch,364288
25.sql,tpch,406379
27.sql,tpch,3048841
33.sql,tpch,443337
20.sql,tpch,2291148
22.sql,tpch,371808
4.sql,tpch,1962647
37.sql,tpch,1433047
12.sql,tpch,1422283
21.sql,tpch,17279364
29.sql,tpch,3608406
31.sql,tpch,402601
3.sql,tpch,4068834
35.sql,tpch,1421908
16.sql,tpch,298521
24.sql,tpch,377736
26.sql,tpch,361181
30.sql,tpch,3621120
6.sql,tpch,1116327
17.sql,tpch,11503091
9.sql,tpch,18929737
34.sql,tpch,402894
1.sql,tpch,1222475
14.sql,tpch,1662877
8.sql,tpch,13152418
11.sql,tpch,333082
2.sql,tpch,832835
15.sql,tpch,3077207
10.sql,tpch,3421315
28.sql,tpch,4042766
36.sql,tpch,1423077
19.sql,tpch,1912128
21.sql,tpch,16013776
20.sql,tpch,2298962
7.sql,tpch,4654331
13.sql,tpch,1222944
16.sql,tpch,175638
19.sql,tpch,1937703
32.sql,tpch,475796
15.sql,tpch,3074516
5.sql,tpch,10612068
17.sql,tpch,11655183
22.sql,tpch,360460
23.sql,tpch,397726
16.sql,tpch,171213
17.sql,tpch,12104490
22.sql,tpch,406819
21.sql,tpch,16389406
19.sql,tpch,1952078
15.sql,tpch,3102261
23.sql,tpch,423249
20.sql,tpch,2224902
16.sql,tpch,166550
21.sql,tpch,16872940
19.sql,tpch,1946095
15.sql,tpch,3059151
