query,dataset,runtime
30.sql,tpch,3894280
23.sql,tpch,362894
37.sql,tpch,1438478
32.sql,tpch,421544
12.sql,tpch,1514894
6.sql,tpch,1116762
21.sql,tpch,18736418
25.sql,tpch,378044
17.sql,tpch,11909665
11.sql,tpch,974154
27.sql,tpch,3377658
9.sql,tpch,21125740
2.sql,tpch,1192718
29.sql,tpch,3197303
33.sql,tpch,531018
34.sql,tpch,502565
15.sql,tpch,3152123
1.sql,tpch,1227950
14.sql,tpch,1739110
20.sql,tpch,2559702
13.sql,tpch,1338321
5.sql,tpch,14759211
22.sql,tpch,510369
10.sql,tpch,4084878
31.sql,tpch,427088
28.sql,tpch,3580959
36.sql,tpch,1449777
3.sql,tpch,-1
7.sql,tpch,5251028
35.sql,tpch,1413003
16.sql,tpch,386729
24.sql,tpch,438793
4.sql,tpch,2089159
8.sql,tpch,20556953
19.sql,tpch,1937277
26.sql,tpch,481041
30.sql,tpch,-1
23.sql,tpch,507170
37.sql,tpch,1418338
32.sql,tpch,555876
12.sql,tpch,-1
6.sql,tpch,-1
21.sql,tpch,-1
25.sql,tpch,-1
17.sql,tpch,-1
11.sql,tpch,-1
27.sql,tpch,-1
9.sql,tpch,-1
2.sql,tpch,-1
29.sql,tpch,-1
33.sql,tpch,-1
34.sql,tpch,-1
15.sql,tpch,-1
1.sql,tpch,-1
14.sql,tpch,-1
20.sql,tpch,-1
13.sql,tpch,-1
5.sql,tpch,-1
22.sql,tpch,-1
10.sql,tpch,-1
31.sql,tpch,-1
28.sql,tpch,-1
6.sql,tpch,1125328
2.sql,tpch,630179
1.sql,tpch,1277783
5.sql,tpch,10293310
3.sql,tpch,3513024
7.sql,tpch,4658755
4.sql,tpch,2079762
12.sql,tpch,1308600
11.sql,tpch,429991
9.sql,tpch,16588657
14.sql,tpch,1545957
13.sql,tpch,1214816
10.sql,tpch,3412415
8.sql,tpch,13147379
18.sql,tpch,-1
21.sql,tpch,-1
17.sql,tpch,-1
15.sql,tpch,-1
20.sql,tpch,-1
22.sql,tpch,-1
16.sql,tpch,-1
19.sql,tpch,-1
23.sql,tpch,398565
25.sql,tpch,419938
27.sql,tpch,2875929
29.sql,tpch,3197205
28.sql,tpch,3308163
24.sql,tpch,359829
26.sql,tpch,350117
30.sql,tpch,3125565
37.sql,tpch,1425639
32.sql,tpch,396899
33.sql,tpch,376195
34.sql,tpch,380972
31.sql,tpch,378810
36.sql,tpch,1409212
35.sql,tpch,1396910
18.sql,tpch,-1
20.sql,tpch,-1
3.sql,tpch,-1
4.sql,tpch,-1
36.sql,tpch,1438451
35.sql,tpch,1424451
24.sql,tpch,394882
15.sql,tpch,3081027
16.sql,tpch,254044
26.sql,tpch,391937
17.sql,tpch,12482028
7.sql,tpch,4450363
19.sql,tpch,1935105
21.sql,tpch,16849656
22.sql,tpch,366404
8.sql,tpch,-1
3.sql,tpch,3803850
8.sql,tpch,14728800
20.sql,tpch,2467707
18.sql,tpch,-1
18.sql,tpch,12728742
18.sql,tpch,9829153
