query,dataset,runtime
30.sql,tpch,3642354
23.sql,tpch,361443
37.sql,tpch,1420669
32.sql,tpch,431749
12.sql,tpch,1533068
6.sql,tpch,1099440
21.sql,tpch,17667196
25.sql,tpch,378771
17.sql,tpch,13590528
11.sql,tpch,1385681
27.sql,tpch,3865585
9.sql,tpch,24835951
2.sql,tpch,1074288
29.sql,tpch,3383261
30.sql,tpch,2733674
23.sql,tpch,406452
37.sql,tpch,1428421
32.sql,tpch,458452
12.sql,tpch,1496969
6.sql,tpch,1106708
21.sql,tpch,14404861
25.sql,tpch,389013
17.sql,tpch,10474304
11.sql,tpch,949688
27.sql,tpch,3202518
